String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
ψ$NLj,0,134907138,1,1792
LvSλs,0,100099726,1,1987
tξQαb,0,88399343,1,1717
C@ΛWΩ,0,124591662,1,2262
3χλ4l,0,62244724,1,2142
tdΨ@V,0,35685654,1,1782
λγ7ZO,0,37710089,1,1927
G0εAμ,0,36154675,1,2047
8φΛζN,0,44241970,1,2407
Oy!pP,0,39672853,1,2407
@ΩgSγ,0,32397574,1,1937
ξνShW,0,30058743,1,1717
CΞAφθ,0,32722238,1,1987
ηPfθh,0,29653219,1,2147
ζs3κ%,0,28356359,1,2207
μ9PyΨ,0,26492848,1,1922
EtDeυ,0,24795279,1,2147
WγRχH,0,25422092,1,2137
fGXVE,0,23562133,1,1777
ZΨAωΣ,0,26775983,1,2272
6κrQΔ,0,24758331,1,2212
RS4Ωz,0,22971268,1,2002
fIψYδ,0,31350613,1,2137
%iOnA,0,32589423,1,2467
GυnωΠ,0,24810860,1,2207
zqEJφ,0,4361096,1,2202
Pn1Qθ,0,6133868,1,2407
p@uνN,0,6604223,1,2212
Nα3LΘ,0,4262281,1,2407
FΣυ%Y,0,5435862,1,1992
a0δL5,0,5505273,1,2052
φUΞθ#,0,5474214,1,2202
u6ιzΨ,0,3077251,1,1922
φνθ9I,0,3164603,1,1727
σkτζi,0,3060842,1,1997
ouGxγ,0,2733263,1,1722
AM9!ξ,0,3893347,1,2257
Ξζ4kμ,0,4730555,1,2192
φPg4D,0,3754145,1,2192
Sηc9B,0,3235107,1,2137
χ%0jκ,0,3398215,1,2197
gΘEe1,0,3266293,1,2137
Π@πτS,0,3037451,1,1987
ωBΩSV,0,3180328,1,2132
UlΔδχ,0,3250892,1,2212
u2χΣl,0,3036972,1,1717
ψχXβ6,0,3019679,1,1712
#LεpV,0,3524589,1,1987
GωλM%,0,3287275,1,1717
7MΣμl,0,3928155,1,1997
XΣσVΛ,0,4629942,1,2472
ηSX6V,0,4255351,1,2257
z!2Σι,0,4546879,1,2202
εeωEτ,0,4154807,1,2212
η6εω1,0,3529788,1,2257
γCzιΠ,0,3532489,1,2267
jrV1γ,0,3527385,1,2212
kκBQ%,0,3970497,1,2482
McΓsξ,0,3547033,1,2257
OTU#7,0,3496176,1,2207
rζN@Y,0,3443471,1,2212
hζnd#,0,3861184,1,2467
P$Λ3W,0,3971173,1,2472
7ΞζΘh,0,2849544,1,1792
!0νx#,0,3503474,1,2192
%kS7v,0,3769937,1,2467
bCδΦ@,0,4078087,1,1982
oκkβv,0,3048229,1,1982
μVdeh,0,3396197,1,2147
AιpΣ8,0,2726461,1,1722
ΔDplΣ,0,2898603,1,1727
0ΠΨRμ,0,3751001,1,2402
μθσι2,0,3494073,1,1777
μEω0n,0,8262145,1,1727
Eχλαn,0,4775607,1,1927
δτυαη,0,3798389,1,2197
cΓCΣν,0,3396961,1,2192
DlrVX,0,3457637,1,2212
ωeειΩ,0,2780114,1,1782
λKσVΓ,0,3425643,1,2207
D9MPi,0,3452795,1,2212
mζQaψ,0,3694820,1,2402
εQδπ%,0,4780981,1,1987
1λaΠR,0,2970497,1,1712
ζHqsδ,0,4477862,1,2477
τvσeH,0,3727768,1,2062
μξλai,0,2947215,1,1727
z!mZσ,0,3602387,1,1987
s7Xeα,0,3642602,1,1997
Σm@Qε,0,4443262,1,2477
pAΨuθ,0,4334573,1,2472
uYΓmp,0,4043961,1,1987
bβW!m,0,3465684,1,2142
NWAsf,0,3911511,1,2047
!j$ad,0,3709910,1,2402
ΛΞeiD,0,3122709,1,1982
PBΔυg,0,3163143,1,1982
φMWqx,0,3926261,1,2147
χyH%6,0,3887883,1,2467
χlDdy,0,3397556,1,2147
yιΞTα,0,3679520,1,2417
βiΛμw,0,3825414,1,2467
ΓTψW7,0,3269700,1,2062
zqεΩf,0,3903217,1,2257
Σ2Λ80,0,3217865,1,1987
qζ2cM,0,3753513,1,2142
aυxqb,0,3510249,1,2257
χtmUS,0,3658254,1,2267
1Dvυk,0,2661787,1,1722
υLJφχ,0,3183267,1,2052
zΞSTμ,0,3120008,1,2047
Gxυβλ,0,3349548,1,2197
5fuc9,0,2741877,1,1727
0SτχB,0,2776439,1,1777
ΛC9AΞ,0,4363004,1,2257
UξζTQ,0,3671528,1,1997
ψUΛaO,0,2818255,1,1727
g7Uμx,0,3950158,1,2212
nαχJM,0,2967291,1,1922
2Wbuτ,0,2834043,1,1792
bΨΞGJ,0,3486263,1,2147
ΣP3μC,0,4232590,1,2417
0CSD9,0,3469435,1,2212
αvβ1o,0,3242607,1,2057
WXbΛv,0,3577589,1,2402
!8Lμv,0,3750555,1,2472
EFαza,0,2711285,1,1717
YηΓ8K,0,3082062,1,2002
Σ2iΠΦ,0,3225478,1,2052
!NζξΛ,0,3873085,1,2202
V9#%m,0,3474445,1,2147
ζφNcR,0,4308423,1,2472
zkυκm,0,3565489,1,2262
ξυxvΩ,0,3107613,1,1992
7J3Kz,0,2892864,1,1927
