String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
κ@Φβ,0,20783503,1,2368
wefV,0,299735,1,55
bqM6,0,287927,1,1243
iβVκ,0,17504,1,25
δiωA,0,203652,1,775
UψHf,0,225222,1,1519
XνΩj,0,223945,1,850
3θσι,0,343066,1,1165
DOg#,0,72391,1,421
pOdΨ,0,83370,1,496
SΛzQ,0,239327,1,1021
ζcrυ,0,129062,1,532
xαqQ,0,149608,1,847
LQ%y,0,36752,1,172
QGsA,0,238196,1,727
leπz,0,421015,1,1912
Rbvz,0,230398,1,1372
qυNκ,0,567489,1,3542
ΔN5Π,0,106874,1,496
ξΔtΘ,0,33400,1,166
βMυo,0,132437,1,241
τ9iΔ,0,184347,1,445
IeΓh,0,17034,1,40
υ$σi,0,279451,1,1483
Si!ι,0,270485,1,1432
aΠuθ,0,36139,1,217
hNK0,0,208816,1,1171
HξGR,0,168933,1,850
%ξ$B,0,262332,1,1402
wγzj,0,51773,1,256
iΦπη,0,364837,1,568
HδC9,0,571436,1,3332
ΘνπP,0,475848,1,1216
euξN,0,125388,1,265
μr9ξ,0,69257,1,160
JUKγ,0,119809,1,343
τΘaI,0,376000,1,2125
eLGω,0,596023,1,3689
ΔlKχ,0,624587,1,3656
Φ7φ4,0,154251,1,712
QbEγ,0,213506,1,1120
zntW,0,73180,1,403
γoTζ,0,421758,1,2467
jXIN,0,54825,1,271
φJs7,0,681965,1,2411
iδxS,0,137564,1,775
Wμ0y,0,531389,1,2524
υ%ΨP,0,38746,1,157
6IΛM,0,235640,1,640
CDqF,0,653695,1,3581
εtJK,0,31495,1,58
WU4L,0,642422,1,3368
ωφq$,0,390044,1,2068
φλ9π,0,25891,1,61
hDTΞ,0,84855,1,439
ΓW4!,0,25882,1,127
XηΩQ,0,12635,1,19
gUu@,0,62365,1,232
8S@α,0,264270,1,769
9PJΛ,0,26318,1,124
ηυf!,0,184334,1,842
PEκG,0,758477,1,4100
kT7O,0,294642,1,556
ΛwΣS,0,104484,1,601
ηεWT,0,213323,1,382
τhυδ,0,49181,1,247
nrpW,0,160938,1,793
gsΦX,0,185703,1,1114
hYζξ,0,183279,1,886
ηMΠτ,0,73371,1,310
nXCι,0,123143,1,586
coAb,0,45710,1,208
β43Λ,0,88847,1,214
0$%!,0,85902,1,427
JmpM,0,16431,1,49
yGwe,0,8746,1,28
$γ3g,0,100387,1,616
pQbβ,0,187684,1,1066
ΣWξi,0,165108,1,868
iΨsh,0,154539,1,715
υΔμw,0,347679,1,1216
dbl7,0,34242,1,142
$UgI,0,524560,1,3113
nδeτ,0,80923,1,424
eωs1,0,65297,1,184
b1yc,0,111951,1,550
62kA,0,45948,1,202
NJΦχ,0,25032,1,115
μb9Γ,0,469194,1,1387
pαEd,0,144583,1,433
uΣτi,0,846920,1,1183
$kNξ,0,318750,1,1189
X6Rφ,0,29754,1,88
ζpW6,0,407835,1,1951
Pfhα,0,73781,1,442
39θτ,0,419548,1,1009
Kwυ7,0,101123,1,565
KIφZ,0,174464,1,637
$ZrC,0,332437,1,574
βτvΛ,0,433339,1,2530
