String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
zo!g,0,364341,1,1357
AβYs,0,27097,1,106
dIDη,0,839579,1,4209
ψμ2#,0,150484,1,787
oΦDR,0,247016,1,1336
bΨlε,0,194367,1,1141
SuTβ,0,197696,1,1048
4rmΩ,0,455180,1,2806
εR3a,0,7635,1,4
6qU$,0,899564,1,5234
8QKF,0,190559,1,901
KZuκ,0,337180,1,1909
pελΠ,0,113123,1,541
βνOg,0,50613,1,241
7λVu,0,542062,1,1909
ΠC5n,0,821215,1,3077
jabe,0,82676,1,448
yψΨm,0,114373,1,487
eνuN,0,35870,1,103
#wτW,0,661801,1,3683
1ΣtN,0,151471,1,904
ApW7,0,56058,1,289
ζfmπ,0,598114,1,3488
hzpX,0,232824,1,1216
SzsΣ,0,124292,1,718
ημγ7,0,375891,1,2261
κAe$,0,35668,1,196
5Bjλ,0,173952,1,1000
Qpn8,0,307255,1,1687
t$S6,0,516820,1,3173
BμYQ,0,239143,1,1306
dYSΠ,0,499134,1,2968
λKcξ,0,89488,1,439
i!JB,0,193131,1,992
5JθE,0,280610,1,1402
νep1,0,91778,1,550
Tνλ@,0,804594,1,2821
πφnΨ,0,60410,1,187
Q4kΦ,0,72816,1,136
ηφζ@,0,156472,1,823
CΠ2p,0,135938,1,676
πxcO,0,51702,1,172
χ1oX,0,154549,1,943
Fr1U,0,22129,1,73
ΞSx%,0,362299,1,1822
wχΨα,0,12624,1,22
Dhηw,0,87808,1,421
μZyi,0,201119,1,1063
fv4C,0,130031,1,802
dWvυ,0,265574,1,1435
D3jπ,0,217936,1,1180
φg0Λ,0,563067,1,3077
θTGα,0,102097,1,586
jUCk,0,915015,1,5633
P$pB,0,38040,1,151
VpNb,0,265460,1,1531
CψηΦ,0,33071,1,151
εmBe,0,365272,1,2251
nlbλ,0,118658,1,490
dτOS,0,107300,1,205
υMlf,0,951185,1,3437
nπκr,0,149247,1,763
hJ37,0,168683,1,802
Xoπg,0,231085,1,1219
Ψξυ$,0,236282,1,1351
sCΠγ,0,11567,1,31
8μhS,0,77553,1,361
δ!T#,0,320187,1,1861
MΠβK,0,78779,1,379
b#3λ,0,71312,1,365
Cjxυ,0,91275,1,496
X6Fμ,0,148693,1,706
Uγwd,0,288430,1,1792
k7BA,0,309858,1,1681
r!OΨ,0,15037,1,55
7ψUs,0,45133,1,160
nψ4β,0,107430,1,409
Yj1r,0,230376,1,1258
RoΨQ,0,34900,1,154
$τΓφ,0,205688,1,1015
bμλζ,0,814462,1,3509
CUlF,0,83100,1,397
jζ2λ,0,107310,1,502
ΛAZ5,0,417238,1,1930
$5jw,0,999985,1,4319
UψΣχ,0,33793,1,133
osB!,0,41384,1,214
mΦh7,0,784886,1,3353
DVc6,0,322568,1,1741
tεζz,0,264768,1,1318
Nλbg,0,776735,1,2956
jγAη,0,208856,1,733
8Λυo,0,281522,1,1309
KSkΠ,0,74541,1,214
χFαW,0,218943,1,946
gα3L,0,84899,1,503
TBZ@,0,106343,1,526
EiΩo,0,150267,1,778
μνφΘ,0,328683,1,1663
ζOγα,0,218685,1,1099
5IGi,0,1066106,1,3404
2Yωλ,0,124730,1,364
ψτbφ,0,663037,1,1603
ΠBPL,0,123275,1,577
LμζE,0,64717,1,118
4JGQ,0,468026,1,1438
gΦcZ,0,92182,1,292
ξζ%H,0,162649,1,349
φwEs,0,128114,1,592
hυΔN,0,209371,1,1123
zνCΔ,0,133489,1,691
vφβM,0,565625,1,3098
DwνT,0,342507,1,2089
IπΠF,0,136471,1,844
mζgP,0,332319,1,1894
D6AΠ,0,562844,1,2380
βZd4,0,36144,1,64
9τ4μ,0,319913,1,1255
gκx@,0,196046,1,646
λζRd,0,306713,1,1000
νFEA,0,329542,1,1423
WQθZ,0,112320,1,394
MgC%,0,817463,1,3185
kMΞX,0,357661,1,1174
NΞβu,0,264764,1,787
gXκω,0,173233,1,841
ΔUFΛ,0,218067,1,1207
NFon,0,46885,1,236
TβaΞ,0,110119,1,421
rHιQ,0,219579,1,1222
θ5xu,0,100664,1,544
Q!A8,0,55646,1,322
NIζx,0,417663,1,2410
kHOD,0,9109,1,13
RφgΣ,0,70671,1,364
ΠW!α,0,111941,1,598
ιz5@,0,1394449,1,1846
ENαλ,0,239743,1,973
DηrΣ,0,161892,1,406
Wra#,0,49422,1,187
HUiη,0,194598,1,964
qCλ8,0,242072,1,1258
dαnQ,0,23686,1,62
6ΠφΣ,0,69061,1,364
Γα4t,0,11173,1,28
mrωN,0,170902,1,985
3Pkν,0,27414,1,91
7νrL,0,141872,1,763
P8Ξ3,0,218971,1,1342
Jmuε,0,38439,1,181
%χdu,0,140306,1,760
t@vη,0,269500,1,1588
dCD2,0,151387,1,823
