String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
FΨOZlT,0,98615814,1,8099
eτΘαδ!,0,73281970,1,5759
E6SvχΛ,0,129157218,1,7948
χΩπf5G,0,517899647,1,35447
dVΘαΛl,0,130119302,1,8786
rΛW7M%,0,498905351,1,29540
zn@Vτε,0,298446796,1,18579
hNS5Dφ,0,508752900,1,35011
τiΠ2s1,0,357364470,1,31381
ψ8HLiS,0,375840100,1,34014
7κΦqiI,0,64042176,1,7575
φsυkωΩ,0,310082780,1,25072
ZPRβ5I,0,364342197,1,31107
Xo0μθ4,0,179342294,1,15395
κkξCzn,0,338214301,1,30001
bε9AFξ,0,298895268,1,28640
zχυ%IΣ,0,116422270,1,12596
!τrWPψ,0,502292689,1,41060
ω0kpT!,0,385864097,1,30467
HΦΩηUu,0,91454324,1,7557
wηTελω,0,222805889,1,11870
δβhdLP,0,442347421,1,42760
iΛl6R%,0,181959718,1,22227
σφλνsS,0,312147754,1,35047
κΣθΔΓk,0,163960014,1,19939
%XfΔjω,0,380596466,1,34176
aν78o@,0,186638295,1,21327
UMpT$σ,0,139431469,1,15697
ιπτφωλ,0,18468521,1,2353
!βγ$1ω,0,255805467,1,29489
τ82Kφξ,0,293570167,1,28543
μνh2HZ,0,324911218,1,35267
wgpx!ζ,0,181573661,1,15279
AwdaΓ5,0,129000482,1,10802
lO!a%4,0,236652187,1,21506
κM@1iΔ,0,222191366,1,25874
ι#gνMW,0,271241006,1,27716
5uψ!K0,0,76837901,1,9186
6RNfεβ,0,18499855,1,2495
lVyxξβ,0,83514318,1,8384
UθZEεa,0,162415128,1,15748
κPλWG5,0,321025780,1,31543
σΛ$Σk8,0,136396949,1,16917
ΓΣ#πOJ,0,225753758,1,26310
ZψC#Nπ,0,167207606,1,20725
9μξνx0,0,80965105,1,9604
ΘΣNwRζ,0,295090151,1,34145
J42ωrn,0,167572943,1,17301
ξwctχΞ,0,248058847,1,26496
$!wΠhp,0,486931838,1,42342
BΠΞiψq,0,69451230,1,9237
hAξocD,0,231984068,1,20788
vNIΦ@l,0,249856882,1,21312
βgf9Tγ,0,307524010,1,36853
τ0yRsv,0,310821529,1,35216
υamχιE,0,251822187,1,28499
Λ7HΣ9k,0,245563562,1,27345
t7RjVΨ,0,335768362,1,29985
Φ%vdσx,0,357676127,1,34483
d%lΩwτ,0,64457006,1,8179
Z%dFBφ,0,214076930,1,23623
jXtq1ζ,0,163925882,1,18403
0fVνgA,0,53144536,1,4293
zSiCω$,0,239966317,1,25072
iυnΦ#H,0,104661669,1,8304
κΞ#Δγj,0,182414487,1,18997
φhOK4B,0,359867924,1,42760
WF#oiG,0,118117140,1,13475
σχ%τKη,0,208083860,1,18979
WR9jΣβ,0,172828593,1,17121
WE8π0h,0,268996955,1,27222
hπ1ySΓ,0,191559706,1,21425
dvs50r,0,221447179,1,23943
UβGsEl,0,277097532,1,23287
WQλtν2,0,144140373,1,14193
sDFΨ6ε,0,308181093,1,25380
ΘOceπK,0,390183786,1,35714
vGzk7g,0,446672542,1,30227
ΠιπMνγ,0,600287731,1,38612
dvVcnx,0,300362543,1,21327
1izΛπα,0,10318827,1,833
87emτW,0,114950107,1,8368
φκ4LΞΦ,0,383165716,1,26496
ΨΣQ3iΞ,0,611094391,1,41778
r4ΣσaK,0,295995085,1,20788
Q1πW7ω,0,272382752,1,16259
hWzoOμ,0,293375783,1,18403
ThΨHΠλ,0,161849023,1,11266
γLNz@ζ,0,361151302,1,22592
σAlζUS,0,438524769,1,34996
τdL#@π,0,211558695,1,21410
rpsQπx,0,175726018,1,17777
βBσj0υ,0,258743660,1,25716
x9ηRθγ,0,153199172,1,16017
T@9ιeU,0,149866032,1,15510
nHχwaε,0,173890818,1,16579
sXpσFN,0,306819421,1,31107
13δΞΔΠ,0,6361615,1,733
!ταuCΞ,0,397286152,1,41060
N2Hhnε,0,149137713,1,15261
1Zυu9@,0,32773436,1,3777
lZ@7gκ,0,256325876,1,25874
λχUptA,0,361860439,1,34467
P5ΘβTν,0,120739675,1,9266
Ωh0dm4,0,391909077,1,39316
ξφχnΦq,0,158782265,1,16191
%ΦgIΨπ,0,401063270,1,39652
5ιωxξ3,0,90187946,1,9442
vΦpeβ0,0,249545433,1,27572
4QpCEι,0,46643424,1,5759
ΣqiH5χ,0,372565965,1,41060
EΞhGaπ,0,75835622,1,8899
E76χβη,0,152356915,1,17283
anψσ2F,0,147346576,1,16899
f3N$nΞ,0,143108543,1,15441
eεaz@κ,0,134726519,1,11888
ν5ΛΩδa,0,217883136,1,20370
ZBχβoL,0,163405835,1,13475
ΓcΔβDΞ,0,285452205,1,25716
EτSλχs,0,52500933,1,5955
ZXq9ak,0,194222994,1,18561
cτχdΠΞ,0,25078611,1,3151
δpk6Πm,0,327910381,1,32339
Y1XD3J,0,338585508,1,35314
r7hvυR,0,191138590,1,19790
SoaζΓj,0,52707154,1,3875
hVIΨ7!,0,260360834,1,27140
π8kΛ!Δ,0,147924924,1,15361
Pdagns,0,19477199,1,2477
SθvνΞf,0,32574211,1,4195
gkινM@,0,134214325,1,10672
Yo1νPC,0,234081672,1,24852
IλθtdV,0,74928151,1,9417
ιMυUCν,0,231329296,1,26036
suCRφΠ,0,200318723,1,19183
Mc8JιΓ,0,218242811,1,19183
GpωsOV,0,41115830,1,5477
χzHjwr,0,437968495,1,41378
Ψ60Lκ9,0,297162229,1,35938
n87V2K,0,325446696,1,38644
CfUZqd,0,42713363,1,5873
λτoδ!Δ,0,199399316,1,19201
VZ$GD4,0,220742394,1,26310
yλzDNx,0,258693629,1,27954
PΓmoHΘ,0,113726141,1,14594
ωrΩ6Ga,0,285522623,1,33425
TRCχ54,0,309759304,1,32967
κ9uiY7,0,312841166,1,36712
καγMηA,0,341519284,1,38212
52λπαμ,0,70515730,1,8610
naφvθ7,0,127225235,1,14675
ΨLCBsΦ,0,325855752,1,38336
dWyH8f,0,246646354,1,28116
ξHζηΦI,0,232115927,1,27103
hVψΦvΣ,0,72338830,1,8610
cn6Wυω,0,164557306,1,19183
αΔBAv3,0,315484107,1,34885
υΓ62lΔ,0,258089189,1,29058
Aβhqχ!,0,32357717,1,4557
7θNA6Y,0,169452569,1,16310
εcjΣV2,0,293661663,1,31125
539ΠκW,0,67052433,1,8146
0%ΓΛBU,0,81823331,1,8981
RQγ6@X,0,176314113,1,18097
JWσψGF,0,150711953,1,16499
O$Aα5Γ,0,243377336,1,23205
ηκhΦpΩ,0,194591599,1,19345
4ZΠbaV,0,27983560,1,3351
yxE@Bλ,0,254578029,1,27222
θχγΦEW,0,230577338,1,25636
OιaΞQw,0,54019708,1,6581
χ3!KiZ,0,252585942,1,27921
C!3μI@,0,117321585,1,14112
JΓν1xX,0,142416710,1,16550
PaAξαΣ,0,90479493,1,9888
e4Y9f5,0,247791027,1,27521
ΦlS#3λ,0,276253854,1,31331
γAgωDι,0,213508878,1,23236
zωIσμγ,0,158003508,1,15510
iRNdεJ,0,339002166,1,30243
ιΠsBKΘ,0,276959558,1,30838
RΠXΞr3,0,99885131,1,12626
κe04υω,0,247413965,1,26496
ξ5aZ84,0,372982522,1,36712
δZπζ7#,0,176166235,1,18403
Ψ$Caζξ,0,305001940,1,34047
vR7L3α,0,330932931,1,36533
bξκλΞ@,0,34019997,1,4557
@MβvΦν,0,312856869,1,34432
2KψΓ7P,0,30888196,1,3761
E%KPφT,0,75875551,1,8017
sYΩIηδ,0,190512082,1,18579
BχκmΓ@,0,38482601,1,4975
πRG70H,0,397996267,1,42358
GQnEeε,0,86738237,1,10928
njΞΣλι,0,78522126,1,8948
ψΞvαqz,0,327424513,1,34709
ζδBLZJ,0,384819023,1,41460
NTX5νξ,0,99373433,1,10446
s3ZΘνy,0,176088793,1,15459
s346Πκ,0,274316545,1,22592
EBh3bj,0,215261386,1,18241
3θnΦγL,0,48692697,1,6437
bΓvgLμ,0,143764130,1,16310
dZχl92,0,252977728,1,24230
ZzYd1#,0,185438439,1,21907
soξJυτ,0,150600331,1,17777
VZsφ@κ,0,6010381,1,735
σOBmrV,0,343955890,1,35938
νFιWYh,0,326773461,1,35216
GwUgχγ,0,35992874,1,4575
θμG0%β,0,236439922,1,25026
εQxπuv,0,256669719,1,27665
71Bλιf,0,73941890,1,8146
@μηνQU,0,437726812,1,40262
ζDγΔκ@,0,139015182,1,15359
Z!MΣτS,0,180609049,1,19619
MlυψiB,0,115978843,1,9186
j5GuΨq,0,216561226,1,15361
κJuchL,0,523986511,1,35316
