String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
9δ#Ξ,0,4171294,1,242
PΔΩ5,0,5497702,1,287
ζ1υq,0,5632204,1,332
νHI9,0,6786809,1,407
HεrΔ,0,4302069,1,262
R1Tε,0,4910320,1,297
2pσF,0,4117705,1,257
#4qA,0,8710415,1,392
Vwnω,0,6708856,1,262
E3κi,0,8201685,1,302
βΘqf,0,10295263,1,372
anWΔ,0,9647464,1,322
σruG,0,8160207,1,407
ΛXyκ,0,13232869,1,387
dCJK,0,6195552,1,387
L6%J,0,5475404,1,332
@YuR,0,9993815,1,407
uCVX,0,6642422,1,387
KφFP,0,5575536,1,337
Lwξ$,0,5580422,1,237
pBmo,0,9695658,1,387
Ψ0aj,0,7055717,1,387
xRlΠ,0,5746386,1,357
eΨox,0,4460228,1,277
bχVv,0,7167927,1,337
θ0ΘK,0,5494619,1,332
dΛkX,0,6812574,1,312
Gκψj,0,4555646,1,257
δ7WZ,0,7349225,1,387
Ωlor,0,7012867,1,387
ξpQl,0,7714675,1,427
πyχr,0,6258919,1,347
7UCY,0,4547822,1,262
%τλξ,0,7951337,1,427
JM5a,0,6469169,1,322
νι8ξ,0,7118950,1,382
hfq8,0,6424384,1,347
d$D0,0,7008715,1,372
ψhUχ,0,7880287,1,412
aT8λ,0,7957824,1,382
πθLδ,0,7299753,1,427
pKπΘ,0,6454555,1,297
u4Ω0,0,6039877,1,347
KξμX,0,5205520,1,282
2ΠζW,0,4994966,1,282
oSν#,0,5523661,1,297
Z2Tφ,0,6698980,1,357
ΦγZa,0,7593304,1,427
jHμs,0,5182789,1,302
υcfW,0,7690578,1,407
Φ6QJ,0,7184794,1,392
XζcΞ,0,4801740,1,262
@DΔX,0,7285411,1,392
nilM,0,7220892,1,407
9zγπ,0,4622989,1,237
ΩεqΞ,0,7453833,1,412
D8JΣ,0,4814863,1,297
Nβwu,0,7265579,1,282
Πqn9,0,9948115,1,432
ν1LD,0,10690053,1,392
daFO,0,8430519,1,427
Pxλγ,0,6346822,1,242
χHτ@,0,7492222,1,357
IβEe,0,8600762,1,337
eαv6,0,9216089,1,312
tzΨ7,0,7748899,1,287
KmκΨ,0,6555636,1,237
%πΓO,0,11076032,1,407
μlΞβ,0,9055062,1,332
V6BI,0,10758484,1,387
vμyΠ,0,4496742,1,262
ξνγτ,0,9159095,1,382
wψD3,0,7423074,1,372
n1μΘ,0,7296917,1,297
ξwTν,0,8453571,1,412
ΓFΨN,0,6273104,1,332
c@yΛ,0,4623408,1,277
nKl!,0,6065704,1,357
ΛλXy,0,7185070,1,427
ΣCωu,0,10891333,1,392
Ψbto,0,11668731,1,392
GΠιΞ,0,7396654,1,277
m6ΘT,0,10148303,1,332
DΩzZ,0,8684965,1,282
υKγp,0,12286511,1,392
Vt1Ξ,0,10040254,1,322
5γηχ,0,6937801,1,237
mΠOΣ,0,5529959,1,322
NZγΛ,0,4071289,1,237
Σwχε,0,6908593,1,392
Prcη,0,4572926,1,262
νBjD,0,6921168,1,392
Eξz$,0,4542420,1,262
oεξP,0,5045027,1,287
λpLz,0,7204489,1,412
cRnQ,0,6153988,1,347
S26L,0,6880053,1,387
9#$2,0,5098662,1,287
3υiP,0,5486802,1,282
SOι3,0,6354661,1,347
RθkB,0,5719432,1,312
IμΦz,0,4795142,1,257
!t8Q,0,8060473,1,427
aβiJ,0,5110195,1,312
TaYξ,0,4340270,1,262
ZWG2,0,7282533,1,432
ZΓA!,0,5556302,1,322
bL@5,0,6204186,1,347
njχM,0,6082743,1,347
jΠ4χ,0,6662554,1,337
ωfXχ,0,8036362,1,412
αRω7,0,6995152,1,347
Σ5H@,0,6180492,1,357
6XBΓ,0,4283193,1,262
Sjqi,0,4735659,1,257
Mν9l,0,5811216,1,337
LΣω$,0,4382103,1,262
μ6h5,0,6828097,1,407
βΔκv,0,5203193,1,312
0zt1,0,4577814,1,282
9zζc,0,4083986,1,257
ωDj#,0,5796382,1,357
B32e,0,7306465,1,382
gμ9J,0,5969800,1,367
qκΩZ,0,5199989,1,287
iΛAσ,0,6057009,1,337
apMi,0,6835902,1,337
TΓ@Π,0,4171661,1,242
Jthi,0,5059036,1,277
λMV3,0,7777162,1,407
δILV,0,6482482,1,387
Haζδ,0,4039218,1,242
ΦΠΓR,0,7398718,1,432
ζC4K,0,6862205,1,412
gKVj,0,5917214,1,357
υΔχQ,0,5217421,1,312
qjex,0,6206186,1,382
Θs0M,0,7020188,1,427
μδTα,0,6926969,1,427
K!χΠ,0,4514715,1,277
@F#ξ,0,5840792,1,332
R8co,0,5333963,1,297
λQΔ4,0,7547728,1,347
ζbxV,0,7768649,1,407
t15G,0,8357087,1,387
OΛΠY,0,4381847,1,257
ΩH#N,0,6065640,1,332
gYΔΩ,0,5621545,1,297
$H0K,0,6918300,1,412
NZΨM,0,4932790,1,287
72Pσ,0,5653430,1,297
χrcW,0,10181658,1,432
lMcσ,0,9219125,1,357
θwσ$,0,8519661,1,297
sδNX,0,8406014,1,367
υwPB,0,7663374,1,432
P2CG,0,6426791,1,387
GΠδR,0,4533114,1,282
hLv%,0,4831339,1,297
0RΩK,0,4391263,1,257
UO4E,0,9579509,1,427
oHηm,0,10375462,1,332
jLZq,0,10627019,1,357
PπvN,0,9214982,1,312
fXψZ,0,8318386,1,332
CQUL,0,6487483,1,257
tC3κ,0,8517252,1,382
ωPKν,0,8968475,1,412
19gψ,0,4981815,1,237
φgηe,0,8485985,1,407
E$Gs,0,6130143,1,277
boUγ,0,6189229,1,322
6kDΠ,0,5067002,1,262
μ#tω,0,6446676,1,337
Ξwdp,0,8011914,1,427
@eνh,0,7148921,1,392
φOBη,0,7430271,1,412
8σGK,0,5552094,1,277
NiFD,0,12046879,1,372
τzWh,0,9693433,1,427
νSημ,0,6358914,1,387
NξDU,0,5865293,1,337
YMzk,0,5195378,1,302
εfic,0,6803802,1,407
Θυu8,0,7926341,1,432
0sΩY,0,4703724,1,257
rRΠ!,0,6342828,1,297
!ψφ#,0,7402773,1,382
Rt#Δ,0,6913615,1,242
τfRχ,0,8618530,1,382
yNHν,0,7460044,1,382
ψυf#,0,6673859,1,382
mVO!,0,7168070,1,382
φΘhΞ,0,5959518,1,322
υβFy,0,9698044,1,427
s69Π,0,6289409,1,357
s@U6,0,6572484,1,372
u6HE,0,6837943,1,392
Npπg,0,4223001,1,257
3φqE,0,4861775,1,282
ΞLe1,0,6883616,1,407
θF7d,0,7439575,1,412
qΛησ,0,5008228,1,277
χsxν,0,7575812,1,387
q9σ#,0,5311397,1,297
ζOM8,0,8347978,1,432
θ1mW,0,7249184,1,392
ΣZξψ,0,6572886,1,387
LZζσ,0,3860658,1,237
hQξE,0,5865808,1,347
Φ26Θ,0,7455506,1,387
vWfz,0,6013107,1,357
πΓΦX,0,4701655,1,287
Hyvτ,0,4319406,1,262
xEkH,0,6626814,1,392
Ωcυp,0,6393293,1,392
pτΦζ,0,4041589,1,257
!rLb,0,8134571,1,427
Qε8β,0,6708102,1,337
τυιi,0,6656474,1,372
CoiΨ,0,4626197,1,262
qπXμ,0,6587062,1,337
ψγdV,0,7609925,1,432
MzXJ,0,5107371,1,312
6Bηo,0,3947197,1,242
EQθm,0,3948582,1,242
σgLα,0,8514206,1,412
WjPφ,0,5896750,1,322
Ξzγ5,0,7399674,1,407
VCxw,0,5022604,1,302
ΣkrY,0,6860576,1,407
znιΨ,0,4906461,1,297
ντ9s,0,5922523,1,367
BodQ,0,4565754,1,282
cBeμ,0,4778929,1,297
pνm9,0,6599475,1,372
uAzΨ,0,5395944,1,297
φUPπ,0,7858973,1,412
σzZ7,0,8077448,1,432
AβtI,0,6006710,1,282
NCγy,0,5740044,1,302
wlc#,0,6504721,1,382
ωμ7Ω,0,6334201,1,382
ewν8,0,4902832,1,287
4fEΔ,0,4202174,1,262
Λδλ6,0,6760569,1,407
G6fφ,0,4870214,1,297
χy4z,0,6784604,1,412
YSδq,0,4788238,1,302
cη7F,0,6052774,1,367
ΞnAω,0,6791102,1,412
MξUI,0,5478305,1,312
πκtM,0,7921871,1,432
9aN8,0,6017740,1,312
i5Kk,0,7328133,1,357
καψΓ,0,5262934,1,297
oSθ5,0,6739270,1,347
κ#Mφ,0,5763082,1,337
!αTΞ,0,7064419,1,412
CBQθ,0,5502245,1,297
pΣγΦ,0,4535360,1,262
σ5xV,0,7157799,1,392
MKHγ,0,6857216,1,382
Ξ$ψK,0,6409930,1,372
Jj2c,0,5793141,1,337
λnNr,0,6988447,1,412
ΩιRβ,0,7270506,1,427
ΞoIΓ,0,7758034,1,412
9ιGk,0,6238290,1,277
FqΔι,0,4261866,1,242
δG9Θ,0,7739528,1,382
lyOP,0,6803260,1,367
Xr@γ,0,4469245,1,242
κSWI,0,7845298,1,407
XYS%,0,5408537,1,322
