String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
yκLΛ4%,0,544672892,1,21367
8nT0Nδ,0,683332675,1,22297
χφEΞCθ,0,72556065,1,24487
φσξ3NZ,0,83684183,1,19727
fξυABv,0,34586850,1,16587
λA5gBs,0,41272963,1,20942
e7gχyγ,0,40571821,1,17537
ΞgZRχα,0,36801327,1,16602
2ηΓζνM,0,39485978,1,20237
gy5ck!,0,45346233,1,21477
π7kSpθ,0,41466847,1,19587
@WnθεP,0,33252859,1,16177
D%UXτb,0,35436094,1,17522
MντξZl,0,35726985,1,16177
3hQMΦs,0,49702711,1,21057
ctMΘwg,0,41941230,1,21467
H63dNν,0,47400159,1,22292
α#%θfE,0,42182043,1,21467
τLpΦ63,0,47241724,1,22812
ZυhrIJ,0,49890758,1,24907
aυQΓZC,0,40961462,1,19292
ιαJeεζ,0,40055684,1,20137
%6ζuiΔ,0,41466027,1,17947
xr0ΣqX,0,47647515,1,20637
α6ΣΔoσ,0,72319450,1,19697
ΩJp#V9,0,64621490,1,21912
CyφIZχ,0,46798856,1,19707
TtfΓΣε,0,35969422,1,17527
tγ6@Ck,0,44227080,1,21492
q5ΩvRc,0,47117479,1,22717
X7dzx#,0,44617595,1,20517
ιlΓσys,0,41796145,1,20937
vχVbδM,0,44376035,1,21072
sc4Zχh,0,31894154,1,15867
2tTWhΘ,0,39612827,1,19302
r@βPUn,0,38309574,1,18477
ODoXuE,0,37234111,1,19277
5r1fεS,0,44161714,1,19722
Cλeυ9θ,0,42218588,1,20627
xs0κvψ,0,47054977,1,22817
nΔΠIv2,0,42256342,1,21462
!Ξpωυf,0,39246336,1,19167
ΣcAΛyr,0,46108947,1,22707
TcZkβu,0,33423949,1,16587
$UVSjP,0,48316522,1,18757
sG@βηk,0,32790151,1,15867
5βvκχx,0,44836872,1,21077
iHsA0p,0,49041966,1,24597
!isθX%,0,42756891,1,21067
iΦzQγχ,0,52704720,1,20947
!xFκRΓ,0,91363063,1,21072
nGτ4Kt,0,55641368,1,19587
vλκζΓΞ,0,45405858,1,20517
μθ1Ψ6C,0,36215247,1,17537
n@θNrμ,0,43696197,1,20622
tθU@ΨH,0,40142241,1,19307
yXQw8#,0,50789985,1,24482
wΓSΩTm,0,44974644,1,22017
Wjoπ$l,0,42581828,1,21592
WdιIα#,0,39739247,1,18852
rδστSm,0,43484074,1,19827
tλμ3k7,0,39737377,1,19717
xbYaδ9,0,38441105,1,19602
