String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
yκLΛ4%,0,481089913,1,36608
8nT0Nδ,0,532615292,1,37767
χφEΞCθ,0,298861095,1,40432
φσξ3NZ,0,217839589,1,34164
fξυABv,0,114089643,1,30325
λA5gBs,0,27502561,1,36099
e7gχyγ,0,26420686,1,31496
ΞgZRχα,0,23653410,1,30334
2ηΓζνM,0,25696462,1,34777
gy5ck!,0,26498296,1,36317
π7kSpθ,0,25966137,1,34437
@WnθεP,0,22908778,1,29828
D%UXτb,0,26909710,1,31487
MντξZl,0,21861048,1,30331
3hQMΦs,0,25225236,1,35817
ctMΘwg,0,27683850,1,36721
H63dNν,0,59157764,1,37761
α#%θfE,0,41830121,1,36724
τLpΦ63,0,31105266,1,38380
ZυhrIJ,0,32740808,1,40941
aυQΓZC,0,27706162,1,33652
ιαJeεζ,0,26459064,1,34661
%6ζuiΔ,0,22917117,1,31996
xr0ΣqX,0,26341291,1,35721
α6ΣΔoσ,0,25239424,1,34556
ΩJp#V9,0,26149737,1,36829
CyφIZχ,0,24922861,1,33649
TtfΓΣε,0,23441819,1,31490
tγ6@Ck,0,25821727,1,36326
q5ΩvRc,0,27275224,1,38267
X7dzx#,0,25471484,1,35593
ιlΓσys,0,31099563,1,36096
vχVbδM,0,25097277,1,35823
sc4Zχh,0,22560746,1,29447
2tTWhΘ,0,24715196,1,33658
r@βPUn,0,24115527,1,32618
ODoXuE,0,25197925,1,34053
5r1fεS,0,28230206,1,38270
Cλeυ9θ,0,26659354,1,35715
xs0κvψ,0,28308416,1,38386
nΔΠIv2,0,29635977,1,36721
!Ξpωυf,0,25824142,1,33934
ΣcAΛyr,0,27870609,1,37767
TcZkβu,0,21460127,1,30325
$UVSjP,0,25616576,1,33434
sG@βηk,0,22250740,1,29447
5βvκχx,0,25464621,1,35826
iHsA0p,0,29610458,1,40554
!isθX%,0,26257442,1,35820
iΦzQγχ,0,26801065,1,36102
!xFκRΓ,0,25210441,1,35823
nGτ4Kt,0,25949520,1,34437
vλκζΓΞ,0,26066963,1,35593
μθ1Ψ6C,0,23094219,1,31496
n@θNrμ,0,25436063,1,35712
tθU@ΨH,0,23180165,1,31496
yXQw8#,0,30753503,1,40429
wΓSΩTm,0,25675148,1,36948
Wjoπ$l,0,25351779,1,36442
WdιIα#,0,25215036,1,33428
rδστSm,0,24411101,1,32115
tλμ3k7,0,24215372,1,33655
xbYaδ9,0,24925796,1,34443
v1rnΣM,0,21870448,1,29328
ξχΨHjr,0,23636194,1,31487
!EσFχA,0,29115145,1,29828
ΦqΛt$ζ,0,29553009,1,40438
L6γηξT,0,27649025,1,36718
JWrFΞΛ,0,28273872,1,36730
HμζΦg6,0,25471438,1,34056
KυFΣjφ,0,36189220,1,37883
μD3θSh,0,26761442,1,29331
YdΛζpj,0,25091303,1,29450
σΨ70δY,0,28677511,1,34164
Qτr85ν,0,27962149,1,40042
λaυσzm,0,22794714,1,30331
σxνCθΞ,0,29152684,1,40042
Dh%d$U,0,28833738,1,40929
Πrη$al,0,25378736,1,34443
kΨtR7#,0,32074385,1,37877
3ΨTψob,0,23644107,1,33655
OζτφZμ,0,27016221,1,33931
7ωτΘvc,0,38642298,1,32615
KΓoRzΩ,0,31452506,1,38261
azφαmΦ,0,27312482,1,36439
zγCιεζ,0,28860385,1,40435
!1hθΞξ,0,27925944,1,36724
Y#EjΦχ,0,21668111,1,29450
MxiUWw,0,27874165,1,38767
ξSEDCf,0,28625451,1,38264
7jMκφ#,0,27045957,1,38261
9CηpH@,0,25377231,1,33931
RηKoχP,0,26402952,1,36599
σo4PQE,0,30275293,1,41048
Gc#κuψ,0,27249213,1,33774
vχΓ#pJ,0,26754634,1,34667
xDE3αΔ,0,28110875,1,36105
b0uW@κ,0,24427523,1,33661
6ωAepW,0,27232564,1,33934
5ψlβWg,0,26240813,1,36215
IdZδET,0,26464039,1,36721
Pυi#νQ,0,28578641,1,38889
KΣφIδP,0,29654895,1,40545
νiH5αc,0,25695304,1,36317
TXwoBκ,0,25255908,1,35939
nU87kψ,0,25613817,1,33934
MζgΣJU,0,25313150,1,35593
εRkqgt,0,27831500,1,38886
MΞΘmΦτ,0,21544084,1,29331
qIηΘ@Λ,0,54132972,1,41051
