String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
Jnτβ,0,23775326,1,413
μτSΔ,0,4080327,1,388
Yzηυ,0,2057264,1,193
wpξD,0,10986820,1,1358
sgYτ,0,577966,1,18
κv@x,0,3369650,1,478
δnuΩ,0,7460741,1,1358
Θζjθ,0,8841460,1,1828
υo80,0,6420034,1,1168
JΦφI,0,16276391,1,3163
tLν@,0,16124724,1,2988
εzΔM,0,30458152,1,5852
QΣnγ,0,4131872,1,1063
ΓλD2,0,395457,1,28
8NBh,0,8975290,1,2603
θΞιY,0,15169109,1,6342
5ωsh,0,2399332,1,1878
rιFμ,0,2407794,1,1753
lψμH,0,359364,1,133
α!2C,0,1337755,1,1053
τυXμ,0,3290819,1,3703
#8Hn,0,454881,1,473
μ1#G,0,1562806,1,2183
9Dκφ,0,587666,1,508
%ΞaQ,0,2154355,1,2853
2ξζΓ,0,358468,1,338
χrυE,0,865974,1,983
7πξA,0,436734,1,478
αQuh,0,338344,1,293
IxXz,0,6300060,1,7477
ωHκg,0,3227704,1,3073
μpSζ,0,595160,1,283
σsAτ,0,1385450,1,1533
3k8H,0,841762,1,758
χ6κQ,0,4759000,1,4518
74Dυ,0,5049579,1,6647
Bf2%,0,314464,1,378
ΞΓjU,0,491207,1,323
hBaΘ,0,502343,1,898
ιCRΘ,0,3387843,1,4508
y985,0,951468,1,798
χhdΞ,0,1634134,1,1703
eι!ψ,0,2508039,1,3348
Lξ%h,0,9561196,1,1213
JNΦσ,0,3011933,1,2228
yfσΔ,0,3698546,1,5042
λc@τ,0,417898,1,438
zΨδ0,0,1188022,1,2713
lcγX,0,350863,1,253
BgΨw,0,487330,1,1113
bxκ@,0,329085,1,528
O7ML,0,537179,1,573
σ8Ξ9,0,996977,1,1788
1κrP,0,596344,1,778
iξGτ,0,3060200,1,5482
xΩ4N,0,753954,1,663
92εΣ,0,239559,1,553
DφYn,0,1318709,1,2738
@καφ,0,193659,1,318
KkLM,0,203368,1,483
nβxX,0,127295,1,83
PξΨΓ,0,143904,1,308
ζBlk,0,134324,1,203
4YHd,0,118476,1,158
Hlr1,0,343850,1,253
%4Bz,0,281219,1,1093
9βuP,0,545857,1,1818
3voT,0,531025,1,1493
LWUm,0,168512,1,23
ΔZΞμ,0,250580,1,588
6uGΞ,0,750213,1,2528
rΓKD,0,1943339,1,8062
UHα7,0,351231,1,1903
abqι,0,413578,1,433
L$ψq,0,1157592,1,3403
5fyψ,0,380009,1,1393
ΔWαt,0,159594,1,208
aXωr,0,176901,1,803
ωJ!U,0,103672,1,158
R$Iι,0,226754,1,913
βσζL,0,332235,1,533
og8u,0,244694,1,1113
XWνλ,0,291763,1,1443
gbkι,0,331499,1,1383
$hIσ,0,95754,1,143
oGψk,0,90192,1,78
πLb8,0,649273,1,4803
OLΨm,0,6533521,1,1268
λ0rb,0,161570,1,793
φqυd,0,265500,1,1923
Opaγ,0,258090,1,1248
ωΔηΘ,0,270216,1,1363
x0PΔ,0,225879,1,583
$gηυ,0,110305,1,53
TθfF,0,287019,1,1333
%NBo,0,122595,1,233
7πΞ1,0,516622,1,2498
ΘQM1,0,128785,1,108
pQ62,0,436153,1,2763
νyJ4,0,533246,1,4253
UτVI,0,115058,1,68
EUxG,0,541313,1,4118
@υω0,0,84187,1,63
JbsΠ,0,174032,1,1108
ΠZSσ,0,584805,1,4878
lQ6S,0,701469,1,5452
eΦVU,0,92154,1,218
Σω4Q,0,120912,1,368
nιLH,0,282623,1,1938
ξdfZ,0,368777,1,3173
aΛRF,0,625253,1,5182
LΔΣμ,0,396619,1,3028
CΛ3Π,0,197429,1,1193
α4Φδ,0,189348,1,1138
τFpΓ,0,113917,1,488
nξfQ,0,251871,1,1778
Gytσ,0,138938,1,713
ΓΩ$%,0,248689,1,1578
VQωσ,0,505790,1,4038
70mP,0,310216,1,2593
χBU1,0,217974,1,1388
CysT,0,128120,1,653
ηy@6,0,101888,1,353
wψlr,0,186269,1,1218
Fζmd,0,115031,1,488
ξφX6,0,709410,1,6097
6SWε,0,459035,1,4068
