String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
R1Tε,0,478837,1,302
2pσF,0,404568,1,257
#4qA,0,452860,1,292
Vwnω,0,475122,1,292
E3κi,0,421764,1,267
βΘqf,0,502723,1,322
anWΔ,0,484704,1,302
σruG,0,512294,1,327
ΛXyκ,0,1097029,1,257
dCJK,0,1082680,1,267
L6%J,0,1176616,1,267
@YuR,0,646592,1,297
uCVX,0,674829,1,302
KφFP,0,727376,1,327
Lwξ$,0,655903,1,297
pBmo,0,616574,1,262
Ψ0aj,0,603860,1,267
xRlΠ,0,794389,1,297
eΨox,0,596220,1,267
bχVv,0,707480,1,322
θ0ΘK,0,1071480,1,267
dΛkX,0,843527,1,262
Gκψj,0,482335,1,302
δ7WZ,0,473682,1,302
Ωlor,0,454912,1,292
ξpQl,0,469884,1,302
πyχr,0,500965,1,322
7UCY,0,434649,1,267
%τλξ,0,498830,1,322
JM5a,0,511607,1,327
νι8ξ,0,397263,1,257
hfq8,0,478785,1,297
d$D0,0,462571,1,297
ψhUχ,0,470076,1,297
aT8λ,0,474568,1,292
πθLδ,0,499241,1,292
pKπΘ,0,506203,1,322
u4Ω0,0,471511,1,292
KξμX,0,531557,1,332
2ΠζW,0,566343,1,292
oSν#,0,522090,1,322
Z2Tφ,0,509183,1,297
ΦγZa,0,537865,1,287
jHμs,0,514062,1,327
υcfW,0,683624,1,327
Φ6QJ,0,622148,1,302
XζcΞ,0,975664,1,322
@DΔX,0,849355,1,267
nilM,0,883648,1,292
9zγπ,0,760815,1,257
ΩεqΞ,0,946133,1,322
D8JΣ,0,819852,1,262
Nβwu,0,1138966,1,327
Πqn9,0,842446,1,297
ν1LD,0,819829,1,287
daFO,0,863173,1,302
Pxλγ,0,848752,1,297
χHτ@,0,809382,1,287
IβEe,0,927634,1,327
eαv6,0,807186,1,297
tzΨ7,0,828641,1,292
KmκΨ,0,561300,1,322
%πΓO,0,429087,1,257
μlΞβ,0,472649,1,302
V6BI,0,448047,1,267
vμyΠ,0,3009322,1,262
ξνγτ,0,445380,1,262
wψD3,0,521124,1,322
n1μΘ,0,536587,1,332
ξwTν,0,478745,1,292
ΓFΨN,0,486123,1,297
c@yΛ,0,432770,1,262
nKl!,0,505770,1,322
ΛλXy,0,454544,1,267
ΣCωu,0,521736,1,322
Ψbto,0,940920,1,302
GΠιΞ,0,944667,1,322
m6ΘT,0,858677,1,287
DΩzZ,0,836870,1,267
υKγp,0,757015,1,287
Vt1Ξ,0,765222,1,322
5γηχ,0,680607,1,297
mΠOΣ,0,404298,1,302
NZγΛ,0,470168,1,322
Σwχε,0,385100,1,292
Prcη,0,354628,1,267
νBjD,0,371960,1,287
Eξz$,0,357671,1,262
oεξP,0,422449,1,327
λpLz,0,372741,1,267
cRnQ,0,370352,1,287
S26L,0,358121,1,267
9#$2,0,540772,1,287
3υiP,0,339861,1,257
SOι3,0,407279,1,322
RθkB,0,522735,1,292
IμΦz,0,424713,1,297
!t8Q,0,341805,1,262
aβiJ,0,342308,1,257
TaYξ,0,547277,1,257
ZWG2,0,378155,1,287
ZΓA!,0,423511,1,322
bL@5,0,403417,1,297
njχM,0,382627,1,292
jΠ4χ,0,398188,1,297
ωfXχ,0,344593,1,262
αRω7,0,449741,1,327
Σ5H@,0,373271,1,287
6XBΓ,0,391311,1,297
Sjqi,0,398430,1,302
Mν9l,0,348664,1,262
LΣω$,0,423250,1,327
μ6h5,0,339706,1,262
βΔκv,0,406509,1,322
0zt1,0,415024,1,322
9zζc,0,410090,1,322
ωDj#,0,375640,1,292
B32e,0,385465,1,297
gμ9J,0,348848,1,267
qκΩZ,0,402570,1,302
iΛAσ,0,391340,1,297
apMi,0,350650,1,267
TΓ@Π,0,405217,1,297
Jthi,0,386658,1,267
λMV3,0,408277,1,322
δILV,0,442617,1,322
Haζδ,0,413256,1,292
ΦΠΓR,0,506424,1,322
ζC4K,0,462265,1,302
gKVj,0,381023,1,297
υΔχQ,0,373977,1,287
qjex,0,405423,1,302
