String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
Dθbxd,0,20888267130,1,402000105
θwδνU,0,21939122333,1,402000105
eυlH%,0,21843751255,1,402000105
εvσr!,0,22946642072,1,402000105
$EX3%,0,20396995151,1,402000105
iνJ@B,0,23948379735,1,402000105
Ψδ5pπ,0,23630395250,1,402000105
θ2qiλ,0,21126160619,1,402000105
ΦruπK,0,20792380070,1,402000105
1UGε0,0,21897702169,1,402000105
Γπ1αμ,0,20641057239,1,402000105
nβeJ#,0,21349664956,1,402000105
ιθLgσ,0,19956068721,1,402000105
r0sKF,0,21870199742,1,402000105
θΓRτΩ,0,22306814059,1,402000105
αI1kβ,0,21729038817,1,402000105
χ1KΨt,0,21035902695,1,402000105
a1xes,0,22085853974,1,402000105
cTβΛ1,0,21661712282,1,402000105
dOSoD,0,22757200613,1,402000105
zγθfc,0,22798077665,1,402000105
Γz%V0,0,23042451823,1,402000105
fνZYη,0,21280267461,1,402000105
dFsκq,0,20681523912,1,402000105
IHΓψr,0,21692943164,1,402000105
JπqZd,0,23160364944,1,402000105
O@%fπ,0,21959772957,1,402000105
yψλφI,0,23038751039,1,402000105
kzυJι,0,22792837302,1,402000105
μfXK#,0,21530846708,1,402000105
ΨohOΞ,0,21945573504,1,402000105
8αGSν,0,21963571667,1,402000105
ΩrφGπ,0,22437348440,1,402000105
$njφω,0,22736530085,1,402000105
ν%zτD,0,21577069203,1,402000105
τhjψα,0,22704013580,1,402000105
γΩN1T,0,21006497981,1,402000105
$ΦWω1,0,21591751780,1,402000105
δngω%,0,22515666076,1,402000105
6ι0%θ,0,24311555113,1,402000105
πfJκt,0,21158759965,1,402000105
9sψMp,0,22439435311,1,402000105
χsqWD,0,21037790210,1,402000105
3McYΩ,0,19731146741,1,402000105
Gζ7χμ,0,21910802584,1,402000105
R#CN2,0,23038348165,1,402000105
PTμβN,0,21663802413,1,402000105
mΞCNP,0,22276536993,1,402000105
LoΞ8k,0,22304746416,1,402000105
Eλζe7,0,21996712031,1,402000105
frQpΦ,0,20912178161,1,402000105
PφrbD,0,21264089965,1,402000105
7χw6U,0,21024798219,1,402000105
JiQoI,0,22682688448,1,402000105
FymGk,0,20736766369,1,402000105
io6Sκ,0,23096158282,1,402000105
l!QΠg,0,22394527022,1,402000105
ΣkπGβ,0,22010295262,1,402000105
ΛJVξ4,0,21067171737,1,402000105
6@rxD,0,21688910828,1,402000105
TDQBV,0,22962625678,1,402000105
LptΞι,0,22221131644,1,402000105
ωs6CX,0,22181093265,1,402000105
pΔuΛι,0,21649611270,1,402000105
VG5eπ,0,22411120377,1,402000105
29Y#L,0,20136101506,1,402000105
eθΛVK,0,21046319453,1,402000105
