String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
ψ$NLj,0,315250556,1,2857
LvSλs,0,86306337,1,560
tξQαb,0,201913053,1,2034
C@ΛWΩ,0,75069303,1,874
3χλ4l,0,73276739,1,926
tdΨ@V,0,150295786,1,1596
λγ7ZO,0,294281644,1,3580
G0εAμ,0,116789451,1,1760
8φΛζN,0,44708046,1,714
Oy!pP,0,39387945,1,714
@ΩgSγ,0,153534331,1,3630
ξνShW,0,140604243,1,3580
CΞAφθ,0,14201503,1,1597
ηPfθh,0,20600537,1,2147
ζs3κ%,0,18507208,1,1922
μ9PyΨ,0,36767158,1,2469
EtDeυ,0,17015846,1,1413
WγRχH,0,22181093,1,1822
fGXVE,0,34524814,1,3206
ZΨAωΣ,0,21174642,1,1583
6κrQΔ,0,9551108,1,704
RS4Ωz,0,11068049,1,1163
fIψYδ,0,21024208,1,1812
%iOnA,0,32732859,1,3368
GυnωΠ,0,3367110,1,376
zqEJφ,0,31707145,1,2959
Pn1Qθ,0,14191495,1,1413
p@uνN,0,14748680,1,1313
Nα3LΘ,0,26580598,1,2186
FΣυ%Y,0,5487186,1,612
a0δL5,0,21092582,1,2263
φUΞθ#,0,14633567,1,1760
u6ιzΨ,0,8109296,1,987
φνθ9I,0,30661665,1,3682
σkτζi,0,30260248,1,2433
ouGxγ,0,15112929,1,1149
AM9!ξ,0,16926538,1,1163
Ξζ4kμ,0,46835265,1,3396
φPg4D,0,51272337,1,3456
Sηc9B,0,29354212,1,2136
χ%0jκ,0,26762458,1,2793
gΘEe1,0,30129177,1,2859
Π@πτS,0,41161756,1,2859
ωBΩSV,0,28112751,1,2249
UlΔδχ,0,2055050,1,266
u2χΣl,0,12771185,1,1426
ψχXβ6,0,46652057,1,3632
#LεpV,0,44709721,1,3036
GωλM%,0,7160627,1,704
7MΣμl,0,2276856,1,280
XΣσVΛ,0,14594254,1,1647
ηSX6V,0,37083574,1,3286
z!2Σι,0,22192570,1,1597
εeωEτ,0,30741790,1,2076
η6εω1,0,24411298,1,2369
γCzιΠ,0,14510769,1,1696
jrV1γ,0,25701110,1,2250
kκBQ%,0,26736768,1,2186
McΓsξ,0,2411611,1,266
OTU#7,0,12168216,1,823
rζN@Y,0,21310382,1,1770
hζnd#,0,13087506,1,1477
P$Λ3W,0,13443324,1,1699
7ΞζΘh,0,6993644,1,876
!0νx#,0,27771961,1,2533
%kS7v,0,36868715,1,3460
bCδΦ@,0,9191966,1,923
oκkβv,0,22506483,1,1597
μVdeh,0,35263674,1,2906
AιpΣ8,0,9824905,1,1049
ΔDplΣ,0,24832459,1,2533
0ΠΨRμ,0,5450698,1,700
