String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
yκLΛ4%,0,652601151,1,41752
8nT0Nδ,0,916820453,1,42682
χφEΞCθ,0,116969827,1,44867
φσξ3NZ,0,137018444,1,40107
fξυABv,0,95342328,1,36967
λA5gBs,0,102048649,1,41742
e7gχyγ,0,100083890,1,37917
ΞgZRχα,0,86894023,1,36982
2ηΓζνM,0,109368103,1,40617
gy5ck!,0,102393976,1,41857
π7kSpθ,0,99175012,1,39972
@WnθεP,0,93867137,1,36557
D%UXτb,0,85893669,1,37902
MντξZl,0,86895859,1,36977
3hQMΦs,0,96752792,1,41442
ctMΘwg,0,98341423,1,41847
H63dNν,0,98519608,1,42672
α#%θfE,0,101356376,1,41852
τLpΦ63,0,101484110,1,43192
ZυhrIJ,0,103376971,1,43527
aυQΓZC,0,105383608,1,42672
ιαJeεζ,0,95942244,1,40517
%6ζuiΔ,0,88775008,1,38332
xr0ΣqX,0,100348347,1,41017
α6ΣΔoσ,0,92309556,1,40077
ΩJp#V9,0,100873299,1,42292
CyφIZχ,0,95819153,1,39667
TtfΓΣε,0,90244101,1,37907
tγ6@Ck,0,99749106,1,41872
q5ΩvRc,0,98438327,1,43097
X7dzx#,0,94473101,1,40897
ιlΓσys,0,98695491,1,41317
vχVbδM,0,93913387,1,41452
sc4Zχh,0,85777733,1,36247
2tTWhΘ,0,91284602,1,39682
r@βPUn,0,89337441,1,38857
ODoXuE,0,153222521,1,39657
5r1fεS,0,110768395,1,43102
Cλeυ9θ,0,95622082,1,41007
xs0κvψ,0,99346073,1,43202
nΔΠIv2,0,97777515,1,41427
!Ξpωυf,0,90591838,1,39552
ΣcAΛyr,0,96099835,1,39142
TcZkβu,0,89381336,1,36967
$UVSjP,0,92068635,1,39137
sG@βηk,0,84680952,1,36247
5βvκχx,0,97416734,1,41457
iHsA0p,0,109684543,1,44977
!isθX%,0,94882900,1,41447
iΦzQγχ,0,97581711,1,41327
!xFκRΓ,0,134395890,1,41452
nGτ4Kt,0,122284028,1,39552
