String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
ψ$NLj,0,356997921,1,3372
LvSλs,0,354992017,1,1847
tξQαb,0,516390825,1,2822
C@ΛWΩ,0,174949933,1,2082
3χλ4l,0,53169254,1,2117
tdΨ@V,0,98971531,1,2492
λγ7ZO,0,89217031,1,3842
G0εAμ,0,62254786,1,2622
8φΛζN,0,48725480,1,1957
Oy!pP,0,51409022,1,1957
@ΩgSγ,0,96051529,1,3882
ξνShW,0,131770808,1,3842
CΞAφθ,0,60681439,1,2552
ηPfθh,0,71605820,1,2852
ζs3κ%,0,83532650,1,2742
μ9PyΨ,0,75192738,1,3082
EtDeυ,0,57869010,1,2427
WγRχH,0,58341720,1,2662
fGXVE,0,93451575,1,3562
ZΨAωΣ,0,62333133,1,2542
6κrQΔ,0,38560142,1,1967
RS4Ωz,0,46971014,1,2242
fIψYδ,0,57265973,1,2657
%iOnA,0,78933601,1,3682
GυnωΠ,0,33259074,1,1722
zqEJφ,0,69724402,1,3447
Pn1Qθ,0,83195431,1,2427
p@uνN,0,58377057,1,2347
Nα3LΘ,0,59173674,1,2937
FΣυ%Y,0,41624694,1,1882
a0δL5,0,61905530,1,2937
φUΞθ#,0,54931540,1,2622
u6ιzΨ,0,42333114,1,2112
φνθ9I,0,86891665,1,3917
σkτζi,0,59644006,1,3052
ouGxγ,0,47818564,1,2232
AM9!ξ,0,47476800,1,2242
Ξζ4kμ,0,78496948,1,3717
φPg4D,0,82360956,1,3747
Sηc9B,0,58426569,1,2897
χ%0jκ,0,73044818,1,3322
gΘEe1,0,70011314,1,3367
Π@πτS,0,70746413,1,3367
ωBΩSV,0,63514182,1,2927
UlΔδχ,0,31220629,1,1637
u2χΣl,0,50684398,1,2377
ψχXβ6,0,82951662,1,3877
#LεpV,0,73167290,1,3447
GωλM%,0,42900317,1,1967
7MΣμl,0,33581139,1,1647
XΣσVΛ,0,56830565,1,2592
ηSX6V,0,74397130,1,3632
z!2Σι,0,56637091,1,2552
εeωEτ,0,58196788,1,2852
η6εω1,0,63325199,1,3002
γCzιΠ,0,53235568,1,2572
jrV1γ,0,62966345,1,2987
kκBQ%,0,61976622,1,2937
McΓsξ,0,33696827,1,1637
