String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
Jnτβ,0,15285560,1,268
μτSΔ,0,12851725,1,319
Yzηυ,0,13606281,1,322
wpξD,0,14510117,1,381
sgYτ,0,8496759,1,271
κv@x,0,8374741,1,271
δnuΩ,0,10862591,1,384
Θζjθ,0,9083411,1,330
υo80,0,8510695,1,330
JΦφI,0,8708962,1,336
tLν@,0,8170550,1,319
εzΔM,0,10249451,1,316
QΣnγ,0,11519178,1,322
ΓλD2,0,13903722,1,384
8NBh,0,10170161,1,322
θΞιY,0,8262160,1,271
5ωsh,0,7791674,1,271
rιFμ,0,10966545,1,381
lψμH,0,8968128,1,322
α!2C,0,10745988,1,387
τυXμ,0,10111045,1,381
#8Hn,0,6847810,1,265
μ1#G,0,8070092,1,322
9Dκφ,0,6491659,1,271
%ΞaQ,0,7157290,1,333
2ξζΓ,0,4305399,1,271
χrυE,0,6223112,1,330
7πξA,0,5540556,1,319
αQuh,0,4394132,1,322
IxXz,0,4374284,1,319
ωHκg,0,5346012,1,381
μpSζ,0,4704209,1,322
σsAτ,0,3792852,1,271
3k8H,0,4143527,1,319
χ6κQ,0,4551547,1,330
74Dυ,0,4528497,1,322
Bf2%,0,3634806,1,271
ΞΓjU,0,4193612,1,316
hBaΘ,0,4499683,1,333
ιCRΘ,0,3511607,1,265
y985,0,4420366,1,330
χhdΞ,0,5089326,1,381
eι!ψ,0,4769044,1,384
Lξ%h,0,3265498,1,271
JNΦσ,0,3964039,1,330
yfσΔ,0,4258199,1,336
λc@τ,0,3477997,1,322
zΨδ0,0,3988446,1,330
lcγX,0,7406636,1,268
BgΨw,0,4207170,1,330
bxκ@,0,3447425,1,316
O7ML,0,3962412,1,333
σ8Ξ9,0,3742853,1,319
1κrP,0,3504385,1,319
iξGτ,0,3887103,1,336
xΩ4N,0,3996184,1,336
92εΣ,0,3072527,1,271
DφYn,0,3554539,1,316
@καφ,0,3047820,1,271
KkLM,0,4463723,1,384
nβxX,0,2977091,1,265
PξΨΓ,0,3781957,1,271
ζBlk,0,3025157,1,271
4YHd,0,3859657,1,330
Hlr1,0,4489246,1,381
%4Bz,0,3877740,1,322
9βuP,0,4307307,1,384
3voT,0,2900371,1,268
LWUm,0,3655363,1,322
ΔZΞμ,0,4143547,1,384
6uGΞ,0,3771841,1,330
rΓKD,0,3682831,1,330
UHα7,0,3056489,1,265
abqι,0,3848978,1,333
L$ψq,0,4765769,1,387
5fyψ,0,3630164,1,333
ΔWαt,0,4102845,1,333
aXωr,0,4454902,1,384
ωJ!U,0,3972467,1,381
R$Iι,0,3393447,1,330
βσζL,0,3282738,1,333
og8u,0,3131657,1,333
XWνλ,0,3892826,1,387
gbkι,0,2421879,1,268
$hIσ,0,5580966,1,316
oGψk,0,5745841,1,271
πLb8,0,2797508,1,322
OLΨm,0,2983515,1,322
λ0rb,0,2855763,1,333
φqυd,0,2674120,1,330
Opaγ,0,2080414,1,271
ωΔηΘ,0,2151023,1,265
x0PΔ,0,2625029,1,336
$gηυ,0,2182006,1,271
TθfF,0,2468493,1,319
%NBo,0,2414583,1,319
