String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
Jnτβ,0,39256637,1,342
μτSΔ,0,30999431,1,377
Yzηυ,0,31247303,1,382
wpξD,0,27896194,1,372
sgYτ,0,23587855,1,347
κv@x,0,21262691,1,347
δnuΩ,0,23874775,1,407
Θζjθ,0,18067463,1,367
υo80,0,15500602,1,367
JΦφI,0,16603055,1,377
tLν@,0,13499794,1,377
εzΔM,0,14220188,1,402
QΣnγ,0,14564167,1,382
ΓλD2,0,16117914,1,407
8NBh,0,15016150,1,382
θΞιY,0,12585554,1,347
5ωsh,0,11604545,1,347
rιFμ,0,10011344,1,402
lψμH,0,9557160,1,382
α!2C,0,10183046,1,412
τυXμ,0,7776022,1,402
#8Hn,0,12380003,1,337
μ1#G,0,4765085,1,382
9Dκφ,0,4618902,1,347
%ΞaQ,0,4402595,1,372
2ξζΓ,0,3869021,1,347
χrυE,0,4733355,1,367
7πξA,0,7115181,1,377
αQuh,0,6840662,1,382
IxXz,0,6880250,1,407
ωHκg,0,6172303,1,402
μpSζ,0,6093987,1,382
σsAτ,0,3600546,1,347
3k8H,0,3651511,1,377
χ6κQ,0,4212594,1,367
74Dυ,0,4270149,1,382
Bf2%,0,3897102,1,347
ΞΓjU,0,4128354,1,402
hBaΘ,0,4023565,1,372
ιCRΘ,0,3592134,1,337
y985,0,3853251,1,367
χhdΞ,0,4436039,1,402
eι!ψ,0,4011232,1,377
Lξ%h,0,3663824,1,347
JNΦσ,0,3673689,1,367
yfσΔ,0,3066152,1,377
λc@τ,0,2553006,1,382
zΨδ0,0,2790588,1,367
lcγX,0,2615231,1,342
BgΨw,0,2025438,1,367
bxκ@,0,2172737,1,402
O7ML,0,2118726,1,372
σ8Ξ9,0,2109646,1,377
1κrP,0,2091002,1,377
iξGτ,0,1969767,1,347
xΩ4N,0,4551739,1,377
92εΣ,0,1832136,1,347
DφYn,0,2874406,1,372
@καφ,0,2822483,1,347
KkLM,0,3506400,1,407
nβxX,0,2188402,1,337
PξΨΓ,0,2430213,1,347
ζBlk,0,2326186,1,347
4YHd,0,1455275,1,402
Hlr1,0,1752961,1,402
%4Bz,0,1270809,1,382
9βuP,0,1544884,1,407
3voT,0,1544425,1,342
LWUm,0,1281013,1,382
ΔZΞμ,0,1103747,1,407
6uGΞ,0,1201958,1,367
rΓKD,0,1230528,1,367
UHα7,0,1153137,1,337
abqι,0,3784753,1,372
L$ψq,0,1467761,1,412
5fyψ,0,2250457,1,372
ΔWαt,0,1669183,1,372
aXωr,0,1189089,1,407
ωJ!U,0,1048265,1,402
R$Iι,0,917593,1,367
βσζL,0,925588,1,372
og8u,0,925976,1,372
XWνλ,0,1013884,1,412
gbkι,0,848564,1,342
$hIσ,0,919436,1,372
oGψk,0,954654,1,382
πLb8,0,993343,1,382
OLΨm,0,1015314,1,412
λ0rb,0,914964,1,372
φqυd,0,898345,1,367
Opaγ,0,864397,1,347
ωΔηΘ,0,1033702,1,337
x0PΔ,0,1028247,1,377
$gηυ,0,1239901,1,347
TθfF,0,959077,1,377
%NBo,0,940299,1,377
7πΞ1,0,1036384,1,407
ΘQM1,0,1519227,1,367
pQ62,0,3129212,1,367
νyJ4,0,857798,1,337
UτVI,0,929655,1,377
EUxG,0,887791,1,342
@υω0,0,1053413,1,407
JbsΠ,0,1056354,1,412
ΠZSσ,0,1042436,1,407
lQ6S,0,977251,1,377
eΦVU,0,951043,1,402
Σω4Q,0,885780,1,372
nιLH,0,844612,1,347
ξdfZ,0,905204,1,382
aΛRF,0,924405,1,367
LΔΣμ,0,867256,1,367
CΛ3Π,0,906104,1,382
