String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
yκLΛ4%,0,253048469,1,9639
8nT0Nδ,0,254280082,1,10798
χφEΞCθ,0,218865612,1,13466
φσξ3NZ,0,226935485,1,7198
fξυABv,0,27638675,1,3359
λA5gBs,0,80237974,1,9636
e7gχyγ,0,33487118,1,4530
ΞgZRχα,0,24210921,1,3368
2ηΓζνM,0,52315372,1,7811
gy5ck!,0,64691115,1,9351
π7kSpθ,0,46813055,1,7468
@WnθεP,0,12850137,1,2862
D%UXτb,0,19813859,1,4521
MντξZl,0,14786447,1,3365
3hQMΦs,0,40301548,1,8848
ctMΘwg,0,45343166,1,9755
H63dNν,0,57270415,1,10795
α#%θfE,0,46995849,1,9755
τLpΦ63,0,59364859,1,11414
ZυhrIJ,0,27052803,1,13969
aυQΓZC,0,13614433,1,10795
ιαJeεζ,0,7265189,1,7695
%6ζuiΔ,0,4500138,1,5027
xr0ΣqX,0,8338723,1,8755
α6ΣΔoσ,0,8894295,1,7590
ΩJp#V9,0,7496413,1,9863
CyφIZχ,0,7089140,1,6683
TtfΓΣε,0,4898371,1,4524
tγ6@Ck,0,5634014,1,9360
q5ΩvRc,0,7305306,1,11301
X7dzx#,0,6679479,1,8627
ιlΓσys,0,5928545,1,9130
vχVbδM,0,5335243,1,8857
sc4Zχh,0,1575736,1,2481
2tTWhΘ,0,4136484,1,6692
r@βPUn,0,3595413,1,5652
ODoXuE,0,5296064,1,7087
5r1fεS,0,7560947,1,7195
Cλeυ9θ,0,8370356,1,8749
xs0κvψ,0,12047015,1,11417
nΔΠIv2,0,6365834,1,9249
!Ξpωυf,0,4728329,1,6965
ΣcAΛyr,0,7320897,1,11295
TcZkβu,0,2170985,1,3359
$UVSjP,0,4526940,1,6468
sG@βηk,0,1641599,1,2481
5βvκχx,0,5405022,1,8860
iHsA0p,0,8688344,1,13588
!isθX%,0,6369414,1,9357
iΦzQγχ,0,5919247,1,9136
!xFκRΓ,0,6116783,1,8857
nGτ4Kt,0,7469210,1,7468
vλκζΓΞ,0,6353718,1,8627
μθ1Ψ6C,0,2815638,1,4530
n@θNrμ,0,5644937,1,8746
tθU@ΨH,0,4027458,1,6695
