String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
yHλ6,0,2286503,1,276
pεΔ7,0,1330491,1,163
7YLs,0,665885,1,96
ιn@q,0,1979984,1,246
rEaY,0,3129462,1,359
Λτ$Π,0,1565654,1,181
jψνγ,0,1024768,1,136
$Prx,0,2836966,1,349
θγS8,0,3490120,1,427
υωβR,0,2558945,1,314
λΦDe,0,2422390,1,304
ΔαυB,0,3958732,1,389
Qzθp,0,749495,1,98
l#μφ,0,912140,1,126
δmjθ,0,2533760,1,322
jΔF3,0,2934894,1,314
4HY0,0,1442996,1,163
UιQΩ,0,1629939,1,209
2XiM,0,756458,1,98
υεcQ,0,4693741,1,427
K6$χ,0,1454167,1,181
πKχζ,0,2052086,1,246
9gXγ,0,707154,1,96
εKyS,0,3053728,1,359
Lπμι,0,1025162,1,136
rΓhG,0,3976285,1,314
OωUm,0,1687329,1,126
z$4p,0,2583504,1,304
omδI,0,2633012,1,276
ψΦΣδ,0,1673511,1,201
Σ2v8,0,3358205,1,359
tυWa,0,3356861,1,304
φ5FB,0,5118925,1,359
ξλSF,0,13437642,1,427
αuΩ3,0,2442816,1,276
jzkS,0,1624670,1,201
Ωe4D,0,3487778,1,417
Lπhw,0,935586,1,126
eslc,0,1816956,1,201
θpO7,0,3614714,1,427
nλzJ,0,1625600,1,201
εθZj,0,2525508,1,304
VυLq,0,1948854,1,239
eiξπ,0,410931,1,58
βldU,0,3564712,1,427
κbΦΞ,0,1463626,1,181
Φε$!,0,1458776,1,181
σξ64,0,3629582,1,427
ΛφbI,0,4017143,1,427
6αf0,0,2782861,1,201
τgRl,0,5082723,1,387
7aΞ3,0,2055653,1,163
Usod,0,1799574,1,136
9πεξ,0,1663514,1,126
Oαθχ,0,784151,1,58
ζlzφ,0,3412904,1,284
e902,0,3609218,1,417
X3OB,0,3067944,1,359
VsΦΛ,0,504020,1,68
ΠnDF,0,3681714,1,417
NΣψy,0,1157451,1,136
ηjαc,0,4518330,1,389
WαOν,0,2864294,1,209
T0Zα,0,1521031,1,171
k%βm,0,1152712,1,136
JlNψ,0,694344,1,96
#ACη,0,3060066,1,349
HαLΔ,0,691836,1,96
i@0ν,0,1963560,1,239
ζg3m,0,3545634,1,387
wΔβM,0,1664069,1,201
Kfβl,0,494474,1,68
!Syk,0,3028524,1,359
Ekyχ,0,415191,1,58
YRLQ,0,3618624,1,417
2MHh,0,687568,1,96
AUψh,0,502519,1,68
yeNF,0,4038623,1,427
KξX9,0,2486865,1,201
C57d,0,2823481,1,284
!Lβs,0,3158334,1,359
ζz%Λ,0,1623363,1,181
Dχ@θ,0,743967,1,98
iKδ#,0,1409723,1,171
9ΦNR,0,912990,1,126
ζctD,0,3438697,1,389
Jaxt,0,493354,1,68
v1kK,0,3243781,1,359
gΣδσ,0,894541,1,126
inNw,0,1736936,1,209
eΘVφ,0,2398516,1,239
PcSζ,0,881755,1,96
iNΓΠ,0,1410987,1,171
gpι!,0,419556,1,58
3nc0,0,1634086,1,201
δ2V8,0,3824393,1,359
#wMi,0,3619622,1,417
κCn!,0,2650959,1,284
SWnh,0,630624,1,68
5ihp,0,1126032,1,96
uσμR,0,3024332,1,201
Gχwπ,0,1527485,1,126
ΛgL8,0,6055233,1,427
S$υT,0,1803676,1,136
Aφμχ,0,1383700,1,96
B@ωΦ,0,1950114,1,126
R6τε,0,2641639,1,181
4OωB,0,1318344,1,98
8qi6,0,3084408,1,201
α9jε,0,2766374,1,284
α1yΠ,0,2477575,1,284
σL0Ψ,0,4184944,1,322
Gy%4,0,1796782,1,163
3tΞs,0,785500,1,98
cCτI,0,3020478,1,246
ΨBξy,0,3158257,1,359
q!AM,0,2801499,1,304
BjτΓ,0,527588,1,58
vΛΨV,0,1447563,1,163
ΣqEC,0,4066833,1,427
τI8θ,0,5253718,1,387
WΓη3,0,1732559,1,201
Leγν,0,394019,1,58
JCZψ,0,2191141,1,171
MOsη,0,601809,1,58
#ERt,0,3464416,1,349
#ΣΞl,0,5398054,1,427
σ3Q1,0,3783919,1,389
LΦ5h,0,2720540,1,239
kxσ!,0,421251,1,58
zγψΘ,0,382033,1,58
15A4,0,713376,1,98
D8θΨ,0,1315545,1,171
36εI,0,463013,1,68
1ZEΣ,0,622692,1,96
JlI6,0,2555219,1,314
τZξζ,0,2867766,1,359
βTmΘ,0,2249810,1,284
2δ35,0,873378,1,126
rυTΘ,0,1609066,1,209
ΓNg7,0,3332049,1,389
τδDB,0,4036811,1,427
yxvΛ,0,2619810,1,322
ΞxΣw,0,2702214,1,276
νBs9,0,3317703,1,389
BcPi,0,811239,1,96
JηΦυ,0,484591,1,68
Ωφwc,0,3641333,1,427
njBE,0,4593290,1,417
#K3A,0,3305714,1,417
ΩNce,0,2825320,1,349
ΛΔz2,0,3652771,1,427
eηTQ,0,2658798,1,314
ΔDΦt,0,2722131,1,246
νuπK,0,2285358,1,276
GPεI,0,1329753,1,98
KTya,0,557288,1,68
f8%2,0,2303509,1,276
khMT,0,3579561,1,417
νWτ8,0,2268584,1,276
ξaLA,0,3386984,1,427
Ω9θα,0,3017089,1,359
8αXλ,0,628420,1,96
jNΔη,0,1458113,1,181
A3y4,0,1953002,1,246
8BΠO,0,650186,1,68
JυE6,0,2437160,1,314
cΞνΩ,0,618818,1,96
θβyΔ,0,2444293,1,322
5Jtz,0,445789,1,58
ifYJ,0,3569424,1,427
δΩυr,0,1604477,1,201
χ9ΠY,0,3372904,1,246
αh@ι,0,1714806,1,181
rxf4,0,2669280,1,314
