String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
8pTξ,0,9812474,1,895
QBξ3,0,519803,1,892
SυQd,0,196312,1,1291
Q19Θ,0,144787,1,649
τφvr,0,310613,1,865
bΔλS,0,255090,1,457
QInω,0,121126,1,517
TΦl1,0,75777,1,199
iΔEμ,0,198422,1,529
sDql,0,97190,1,538
GVNΨ,0,2383029,1,535
iYJδ,0,454863,1,2761
ΠMIw,0,1052638,1,2446
υφCI,0,293352,1,1036
ωw!Δ,0,185809,1,1318
sMUπ,0,108973,1,472
v3πb,0,193503,1,718
χ3k!,0,554199,1,2573
RptH,0,35741,1,115
PλwU,0,162813,1,1159
Θγ6R,0,132281,1,799
iCgv,0,86917,1,199
YθZκ,0,145264,1,382
a@Oσ,0,39442,1,154
XahD,0,13403,1,4
laO7,0,326239,1,634
aλ9L,0,137114,1,634
δΘDO,0,133121,1,733
Sβιλ,0,124267,1,643
4ηLΩ,0,523238,1,2599
GπA8,0,400158,1,2713
5φhu,0,49735,1,211
JPθΠ,0,142717,1,910
Dσhd,0,249685,1,1051
ΘζHO,0,13991,1,43
Ah%ν,0,74983,1,166
R6$Θ,0,18623,1,55
κνSΩ,0,988177,1,4409
