String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
PχηατR,0,21589391,1,258137
mP2kΛd,0,3268100,1,35456
πxC!Ac,0,19216465,1,230767
2@HΓt5,0,5557103,1,72179
eΘ6πΩχ,0,2095389,1,26278
ΓVΣfΦO,0,22944660,1,273759
1wΔs5ζ,0,4926571,1,43660
AFνMkL,0,81693793,1,872894
j!νC3t,0,32111645,1,311241
νOιn1δ,0,2718286,1,33907
xμψgSκ,0,25962124,1,277948
ζΣuLMβ,0,30160748,1,363216
hνScΞΛ,0,23805170,1,299799
%GδΦωβ,0,6202618,1,73614
XI!βur,0,11178757,1,142235
5gVζQF,0,21927731,1,286241
ελιL9I,0,13797048,1,183067
aΨζeβΞ,0,3386816,1,45694
tJΣRσz,0,915339,1,11351
ZmlλΔχ,0,55951649,1,606967
a%sOG3,0,3581502,1,41065
SwqνTp,0,86487678,1,1161766
Γyγ1πu,0,190218350,1,2308032
xeψσηn,0,8820028,1,114381
ΩTλtzV,0,2364320,1,31467
526Δcx,0,9290159,1,113176
u2oΣMN,0,12947223,1,172099
ΞχZaNo,0,1112369,1,14606
!υΠY4μ,0,19314961,1,260561
fγ0lΛμ,0,1707190,1,23009
V6k9Ξε,0,66931922,1,803883
ΔiφΨcu,0,9934590,1,121194
L7πYUΠ,0,5505799,1,72469
TuOΨnω,0,6213788,1,83882
HΨ8RTj,0,11282904,1,139386
ΠoKδ9Z,0,17003584,1,187936
υξeFB@,0,50314715,1,592595
sΔΦnu#,0,28545710,1,372549
gSαkυβ,0,106872008,1,1298329
z21vΦλ,0,43950581,1,499129
zbJoΘf,0,476118,1,5802
Λυ3NzV,0,22062147,1,280232
0cφ$κΘ,0,21021236,1,268945
υΣ69ΠT,0,17638557,1,213646
VjpNΩΓ,0,31753365,1,379933
φ2Pf08,0,10511963,1,134707
lσ7RΔi,0,13840317,1,172084
sFηQΛβ,0,12876886,1,171404
ε6φμΘδ,0,9563822,1,129653
pΞ5βkψ,0,41259694,1,527588
E78Ouι,0,21481044,1,231562
Π@αΩΞO,0,24063683,1,297129
9τυωδb,0,26546661,1,324029
TN9ΣxY,0,81683616,1,1004258
Sgεob$,0,44367422,1,535407
uXSξa7,0,13271431,1,179558
Ωτ8μκ2,0,13292951,1,181352
bq1αΞA,0,11361253,1,147064
TεΨBRI,0,15731947,1,208487
YφRlew,0,1506428,1,18380
VdcHGχ,0,22218694,1,273279
$v@eΨR,0,32885230,1,419030
PzFtnδ,0,15939432,1,184457
nJZBf@,0,1385800,1,10386
ιMzZAβ,0,13374065,1,100768
3hjψ!σ,0,12409274,1,103718
TFO2MΞ,0,33511757,1,292250
τCLW1Θ,0,61274944,1,536876
0Jδ4G7,0,151549480,1,1298909
ΘQHZ8Π,0,85906749,1,716130
AT1φχΣ,0,20942565,1,203118
υγSyfΣ,0,3768018,1,48779
ToΛRk!,0,118981298,1,1302428
w4ΨpφΩ,0,1128109,1,9237
oΘCq7@,0,3885867,1,38561
2vFλxw,0,5751570,1,74799
2αΓQ%T,0,11432916,1,119735
φivRFT,0,26304799,1,347714
C1OμvΓ,0,27787500,1,359797
#ΣQνM9,0,7372359,1,47519
μB60νγ,0,48156840,1,479268
