String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
Fωfoη,0,1182036,1,14856
QπΦ1j,0,187877,1,1608
jΔb%!,0,1181069,1,14446
RDLε!,0,334770,1,3338
5lYFI,0,68554,1,298
0Σmuf,0,763695,1,6317
τ3Pθr,0,5247701,1,65375
ΣΛqκF,0,2575403,1,31187
FνΓbx,0,79664,1,348
ΞλΩTn,0,1485461,1,16450
nγσWχ,0,46036,1,38
f8xaΣ,0,1726925,1,20259
HWqGi,0,547085,1,5992
6tνP%,0,3217431,1,38031
ξFWBX,0,2640117,1,32887
BTτωa,0,191060,1,2043
hνπFΠ,0,2799903,1,35266
Πιtwf,0,520705,1,6552
hμXΞλ,0,129411,1,1158
1hNφx,0,529919,1,6257
Ξw5ξ!,0,2702249,1,35921
FΣιTC,0,1346512,1,15300
xκaPI,0,4440585,1,57037
obΘ!θ,0,1993570,1,25948
!βBJ3,0,584183,1,7172
BMθγN,0,3328821,1,40040
pVYΨε,0,3796389,1,48639
nvXof,0,590662,1,7182
rΓψl2,0,299542,1,3118
χNψι6,0,243144,1,2743
Ξnτμσ,0,2019511,1,24079
vHoΣC,0,8394058,1,105537
IΞ3Dθ,0,1220124,1,16445
gohGτ,0,947681,1,11916
γt7Λc,0,1438288,1,19680
Φpsα6,0,2047842,1,26643
%3eηΛ,0,1020912,1,13876
JωLS$,0,1498839,1,19840
vnDQk,0,813819,1,9257
1ΦqU3,0,624003,1,7582
CqκZh,0,151023,1,1388
ωtEαN,0,284717,1,2953
aωσI9,0,596261,1,6337
ΔΦGl6,0,4039575,1,47294
ΓGηJE,0,873703,1,10146
viζπh,0,2275938,1,22609
φτw1Z,0,1789936,1,20269
kgWbP,0,2179999,1,26913
4Γυnε,0,1363576,1,16095
Vl%γk,0,1833435,1,20954
S@Γg!,0,3463345,1,40755
ΛETGa,0,187337,1,1893
nQRΣG,0,271962,1,2633
σ9JεP,0,3006071,1,32507
Nτμ@k,0,1005283,1,11221
a#ακJ,0,5099752,1,57202
6αXA8,0,1069602,1,12541
9ΣSgi,0,1108320,1,10776
t#Ldo,0,2234448,1,27293
HηhDχ,0,660264,1,6467
cE!lΣ,0,3162355,1,38541
Θυκ2X,0,4633966,1,38471
θoeμw,0,2283322,1,23889
tδΘε1,0,7343078,1,93955
9zνPX,0,86915,1,643
πΠθ8v,0,824371,1,8327
π!ψGk,0,587218,1,6792
z2Zχθ,0,3301356,1,42250
ν9γζL,0,2749173,1,33492
ΓtrΞM,0,3114030,1,35356
ΠICΛF,0,211915,1,2233
θx@JΨ,0,940707,1,11131
