String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
#Γ9Δνγb,0,956490451,1,95624
SλOκωE2,0,1229175243,1,150665
ωνfqIE2,0,85934207,1,115351
6σ3ψυly,0,62942075,1,64662
Wz5σιΛA,0,121236237,1,118560
gΘMψGιe,0,67771172,1,98969
SιKΦυσu,0,61559113,1,84009
MλT2ΔαΩ,0,118498568,1,114356
χl37pεJ,0,101113740,1,108382
bλlΨΠ9τ,0,29245402,1,46905
vψ4τΠBw,0,63546336,1,76480
lμrγβEH,0,16978752,1,26624
δxcκIη%,0,103920603,1,158403
oq3KaΣp,0,62336470,1,94081
qgfrUmE,0,124097977,1,119370
μVqeχAφ,0,36517361,1,29145
6Sξμκzσ,0,73993579,1,90619
aηqgst!,0,121129074,1,170943
hΞ4DιJ0,0,53726216,1,78836
ΨΠ4πψLY,0,110923389,1,114226
QNwΘXΣΨ,0,39338615,1,64488
ABONrΘj,0,35126458,1,56768
srT%#υξ,0,86601025,1,119370
FBChsX$,0,38296511,1,48394
ψξCU4aλ,0,29638243,1,46731
EO2ΨyMΠ,0,63526657,1,86603
Jiκ3ΓMI,0,114061297,1,162587
τΦιNAtc,0,112267270,1,168428
nF1ΞTYS,0,103391214,1,144665
UVYPω#u,0,52323242,1,78862
ηKZMXSe,0,118298315,1,171773
SYDΠeψζ,0,60520347,1,88101
avωfιu6,0,65946491,1,96767
q7a@ΦΛA,0,53582472,1,79001
κπoωHcx,0,70350772,1,94968
ψEHTl%Ξ,0,76014167,1,105117
Kπ4EιU!,0,122059809,1,171779
e3z%κCV,0,56366254,1,83847
zZΘOSωr,0,119753494,1,164247
CRvΦteγ,0,56113844,1,88272
8P@WCiN,0,81765012,1,118543
aUokΔIx,0,13827778,1,21451
I5ujψAf,0,106588681,1,137957
M@kZ#3v,0,83813345,1,124546
#N6σnrV,0,71250160,1,114379
ηω1υ@$χ,0,31193590,1,44222
ZLGΞ8le,0,84719554,1,118699
$OωSDu6,0,114163596,1,168269
v43ZCΦΩ,0,41878394,1,66154
Q1τσmEΠ,0,34878275,1,56097
fDαυvRF,0,27740819,1,30637
EΞPγΩ7b,0,23163181,1,30799
ΨUmdκδS,0,20746752,1,33152
Hκdz6WK,0,63794214,1,92453
%ΔG0πsβ,0,59539545,1,90787
ΓjyEΔΛn,0,102217675,1,149005
xiΓΦξ3k,0,114700522,1,172615
vreΠΔ8w,0,61578120,1,94075
uHθΠeδZ,0,60540895,1,92288
zZβFVdY,0,117728955,1,170949
m2ΦγΣαω,0,58203291,1,72302
g5LsφOX,0,33970523,1,46902
Ψ3ElihΘ,0,13495495,1,20774
s#PTxτE,0,76718516,1,96755
εoμbπrB,0,110693810,1,136465
ιSwa6Σ2,0,82302210,1,115186
πυGI5!γ,0,69926463,1,110213
LCNp!Σ$,0,71597038,1,101607
yvσnXψΛ,0,54635176,1,75653
Ywe9Θxπ,0,51535841,1,71313
ενΛσVΠo,0,57820133,1,75494
NΔΠcJ6δ,0,97120304,1,122883
VιφRhβG,0,50479589,1,74649
hΘRHrνε,0,94223265,1,124555
eIΓ$ΨNφ,0,83499068,1,121752
EpκΓVkG,0,42250779,1,69499
ν6ΨLnDY,0,44189645,1,70512
$ΠpPΘξΛ,0,113463637,1,171776
VkiaΘγx,0,46962824,1,73689
vRoκaXI,0,31962452,1,50918
fτid%Aq,0,60717017,1,99140
φδPΛeJV,0,107522865,1,145486
PMxΠΘπθ,0,75008388,1,106618
Gwωesι0,0,13046130,1,20609
θυξΨNλX,0,73705687,1,108544
ΦfΩ6ιsW,0,54724501,1,71469
ZmΦAuxΛ,0,108674318,1,145489
Θφδ0Rωx,0,81698114,1,121923
rηZUαlX,0,48381939,1,77202
πe#cμay,0,55319558,1,69514
n3x9TNη,0,21144173,1,33991
XIπκσpb,0,117169968,1,170940
αP0BεQz,0,85289009,1,115363
ΣR$ΨΠdγ,0,69183716,1,95801
ζA4u5pP,0,72815580,1,100774
CWΠzRBγ,0,22003141,1,34992
lLθQ5!G,0,119260819,1,167592
Ξh9qB8β,0,72644881,1,117574
ι9m5a#O,0,70990288,1,99979
1IjΩ!ζγ,0,87290466,1,121758
SνΣuz#λ,0,21691786,1,34153
XEW5mN!,0,57351489,1,70639
βψsN5bυ,0,22181393,1,26630
ΩCjvXKΨ,0,30122693,1,46728
ΓΠφln0Q,0,132907469,1,172609
Ujαl0sY,0,62498565,1,100644
4ΔyμεζΓ,0,54838938,1,77040
93#φM7E,0,51101689,1,72302
Δg!xFθd,0,67439498,1,76318
ψNνYΘrΩ,0,77319175,1,88260
YxO6ψqW,0,152404031,1,171608
σpKΓ7qe,0,85238702,1,128559
8CλfzNT,0,80730785,1,118699
yjφΩGΠz,0,85259003,1,127735
δΘβmφOj,0,21549292,1,34153
ΠPadσΣμ,0,65418261,1,96590
xiIφΔAu,0,115704741,1,172606
ΛRrlFΞψ,0,95552488,1,146490
bToΠBχΓ,0,26120628,1,26462
Qα3x!Yθ,0,94599983,1,137963
ΣΛιΓbσΠ,0,101176883,1,120209
hΠoOq45,0,124629572,1,168260
l5νXWuE,0,94957207,1,138122
ζπAHηΛc,0,101332925,1,138122
$χDGfRQ,0,105529833,1,159074
νferXuΦ,0,16063742,1,25794
κVιη$Eψ,0,67206278,1,98424
ΔiWuAqk,0,66130995,1,112560
2ΠVYgzj,0,57883394,1,91446
γβyΩεζB,0,110560790,1,170778
74UDlωv,0,86891986,1,136462
QPe!ζb7,0,84622103,1,90778
pvΘnF7ζ,0,32412594,1,30646
κγkcelπ,0,96303780,1,121752
κfR!φDc,0,71462311,1,101778
OηιYtκU,0,88268030,1,142138
UυW8χΩΛ,0,64275215,1,109371
θFε!χ6π,0,18074865,1,29142
5Bιτψwx,0,82354445,1,96631
δ4τpVxY,0,49095815,1,73689
RTWHOVi,0,14232601,1,22449
ΓK6ΘaSφ,0,103822413,1,159242
ΞυχWψwν,0,70218722,1,121911
zΘoπιj!,0,64786590,1,97423
ΓτJd#j4,0,111404084,1,171614
μψEMνWΞ,0,87276698,1,137957
ZHεzΔκα,0,160472562,1,142315
qΞφΔOLW,0,57775394,1,84012
π#sobF%,0,59658989,1,80673
κΦΩSaLχ,0,67536747,1,108382
zhΨΔrnΣ,0,75511731,1,110045
fwPrχML,0,17116155,1,24958
vψY!βΠη,0,29738834,1,46896
ζuΩγWeJ,0,21318139,1,30643
kwVKLFv,0,51723624,1,76483
ηSFλE!ξ,0,97148336,1,142141
5EGAΔqj,0,13375597,1,20783
ζxLJΔic,0,103770834,1,159065
dNmsbFg,0,107138813,1,149832
LhDBKMd,0,104611969,1,136459
τe4awΩC,0,84196406,1,106627
Θ96jc3B,0,60654088,1,96628
XFx!Pφo,0,69672741,1,83020
ZRλfS9Θ,0,81693192,1,122715
TΠPxteω,0,60836751,1,96619
#7lσQΓ3,0,66655659,1,101604
ugφΣrΓG,0,22365678,1,30634
sVpΣq1!,0,68431824,1,102605
κHΔgAt#,0,116334238,1,170940
κΨθCFk#,0,85747462,1,119364
t%Sy318,0,60772750,1,96466
rAqωt!Λ,0,101781727,1,149008
9nλ@p61,0,112549299,1,170940
#Z!Γ9x5,0,69922873,1,109203
ψsΞσOφk,0,26458453,1,42556
45λβTzW,0,70022026,1,98259
7xΞXιlG,0,110124463,1,159901
σPνry0Π,0,41214248,1,65495
TrIξWX0,0,53837770,1,77867
ΛAY8uOB,0,34832792,1,56759
e$2rzcD,0,97203177,1,137289
VFz8Δ6!,0,57936630,1,84845
μΞΦWRηT,0,17819823,1,28968
5ηRkmKM,0,31676491,1,43380
Hβ%ιNUX,0,74524915,1,117739
JY2γζθs,0,104890562,1,138125
uθTJΠζτ,0,28635379,1,44390
ig6Γσημ,0,55120822,1,72134
WO$UIwr,0,59824411,1,95792
Δi@VhQI,0,78979957,1,116903
kΘCifjΓ,0,69222249,1,98268
υwΦnfι3,0,60141429,1,84677
ε@K2%qπ,0,36342992,1,55264
724Iuiy,0,16198235,1,25629
γCΞελ9X,0,72703567,1,93257
UlθHj!f,0,43292758,1,70497
τXγ7κpψ,0,105017695,1,148834
bhζ@40C,0,77931959,1,121914
lgΘΞirw,0,68791109,1,100936
@yεΨ9π3,0,118877623,1,162413
LΠT@ΦOZ,0,73372091,1,108382
ζXβrWfj,0,63993494,1,100809
lr7UGI4,0,102756069,1,144665
4ψN8voη,0,32605590,1,52584
σOwγΓaG,0,77306235,1,116184
nGSξFyN,0,46626678,1,73692
i!jt8ΔG,0,73148662,1,105117
θwV!ikφ,0,16159883,1,24958
aI8λt@h,0,85577902,1,122591
DMVβGαψ,0,40182547,1,66151
7TgqIbs,0,76197066,1,93413
RκkFΦu2,0,96972425,1,127891
P%8@u#Π,0,68931965,1,100815
ψqKhSk2,0,75343174,1,106618
nD0@oυK,0,13210410,1,20618
!ιNηκ7Σ,0,40596026,1,52752
cΠφvCqτ,0,61326945,1,99149
σXμη7ΔG,0,116499687,1,159901
Λ@Ω%S$a,0,27574233,1,44387
mηi6HuK,0,53765169,1,78038
ΓADΨt@m,0,113865564,1,159913
zhi9Δυτ,0,51511233,1,77040
hyIMψνJ,0,126972632,1,172618
AUσvτξi,0,18328994,1,29142
@K5ψXrξ,0,141027973,1,166759
pFmxRφδ,0,23625824,1,26456
vαs4ζTA,0,97535061,1,113552
pLσboθΨ,0,112765568,1,123716
ιφpjΦ29,0,120463661,1,114385
