String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
#Γ9Δνγb,0,1153967756,1,514229
SλOκωE2,0,1200144048,1,573454
ωνfqIE2,0,539769853,1,516202
6σ3ψυly,0,350525264,1,487451
Wz5σιΛA,0,374577323,1,541352
gΘMψGιe,0,421083601,1,522594
SιKΦυσu,0,365155406,1,506795
MλT2ΔαΩ,0,546890133,1,541323
χl37pεJ,0,501060003,1,531168
bλlΨΠ9τ,0,381301466,1,473872
vψ4τΠBw,0,453193504,1,499266
lμrγβEH,0,565843679,1,449410
δxcκIη%,0,665010304,1,581189
oq3KaΣp,0,500323557,1,516870
qgfrUmE,0,504219077,1,537978
μVqeχAφ,0,576866925,1,473872
6Sξμκzσ,0,417341927,1,491464
aηqgst!,0,513382712,1,593732
hΞ4DιJ0,0,426102968,1,523563
ΨΠ4πψLY,0,492811510,1,537012
QNwΘXΣΨ,0,418910875,1,487274
ABONrΘj,0,349107557,1,501495
srT%#υξ,0,680276025,1,542156
FBChsX$,0,409425281,1,471183
ψξCU4aλ,0,569600540,1,469691
EO2ΨyMΠ,0,361289901,1,509389
Jiκ3ΓMI,0,644530364,1,585376
τΦιNAtc,0,549280406,1,591220
nF1ΞTYS,0,526682630,1,567451
UVYPω#u,0,454227629,1,501651
ηKZMXSe,0,556605891,1,594559
SYDΠeψζ,0,411608161,1,511052
avωfιu6,0,434316443,1,519556
q7a@ΦΛA,0,369064880,1,501790
κπoωHcx,0,420608409,1,517754
ψEHTl%Ξ,0,442355327,1,527903
Kπ4EιU!,0,410541423,1,594565
e3z%κCV,0,319503455,1,456768
zZΘOSωr,0,437016057,1,587033
CRvΦteγ,0,429691510,1,510893
8P@WCiN,0,493844044,1,541329
aUokΔIx,0,471436765,1,444237
I5ujψAf,0,404525930,1,560743
M@kZ#3v,0,412779114,1,547335
#N6σnrV,0,562288402,1,537165
ηω1υ@$χ,0,364449842,1,445067
ZLGΞ8le,0,406776083,1,541488
$OωSDu6,0,422679791,1,586874
v43ZCΦΩ,0,357303901,1,466999
Q1τσmEΠ,0,454768451,1,478883
fDαυvRF,0,325709302,1,453423
EΞPγΩ7b,0,331376223,1,453591
ΨUmdκδS,0,333857274,1,455941
Hκdz6WK,0,530058106,1,511058
%ΔG0πsβ,0,457801083,1,509392
ΓjyEΔΛn,0,428278417,1,571791
xiΓΦξ3k,0,493834189,1,595404
vreΠΔ8w,0,442674299,1,516861
uHθΠeδZ,0,363896945,1,515074
zZβFVdY,0,419048513,1,593735
m2ΦγΣαω,0,435172780,1,495088
g5LsφOX,0,342731644,1,469691
Ψ3ElihΘ,0,327646549,1,443560
s#PTxτE,0,430029613,1,519547
εoμbπrB,0,391140724,1,559251
ιSwa6Σ2,0,471894886,1,537972
πυGI5!γ,0,523077415,1,532999
LCNp!Σ$,0,391955360,1,524393
yvσnXψΛ,0,493374015,1,502620
Ywe9Θxπ,0,447177568,1,494099
ενΛσVΠo,0,475725940,1,448415
NΔΠcJ6δ,0,394129569,1,545669
VιφRhβG,0,470727805,1,447735
hΘRHrνε,0,587860216,1,547341
eIΓ$ΨNφ,0,487459591,1,522603
EpκΓVkG,0,565914051,1,492288
ν6ΨLnDY,0,364182244,1,470524
$ΠpPΘξΛ,0,638439533,1,594565
VkiaΘγx,0,505804849,1,500662
vRoκaXI,0,464641737,1,473707
fτid%Aq,0,533828999,1,543867
φδPΛeJV,0,605153661,1,564094
PMxΠΘπθ,0,529035253,1,529404
Gwωesι0,0,539948854,1,493263
θυξΨNλX,0,471007907,1,531330
ΦfΩ6ιsW,0,582062278,1,494255
ZmΦAuxΛ,0,422110137,1,546337
Θφδ0Rωx,0,631291845,1,544709
rηZUαlX,0,466481557,1,499991
πe#cμay,0,499256720,1,492300
n3x9TNη,0,329002622,1,456777
XIπκσpb,0,438419997,1,593726
αP0BεQz,0,495476969,1,538149
ΣR$ΨΠdγ,0,369815453,1,518587
ζA4u5pP,0,379235642,1,523563
CWΠzRBγ,0,518181869,1,453597
lLθQ5!G,0,534016652,1,590381
Ξh9qB8β,0,451905684,1,539530
ι9m5a#O,0,486009108,1,522768
1IjΩ!ζγ,0,453143129,1,544544
SνΣuz#λ,0,535575856,1,478880
XEW5mN!,0,374158439,1,493425
βψsN5bυ,0,512430569,1,499281
ΩCjvXKΨ,0,338719894,1,469514
ΓΠφln0Q,0,418344398,1,595395
Ujαl0sY,0,374520867,1,523433
4ΔyμεζΓ,0,359779616,1,499826
93#φM7E,0,356535180,1,495091
Δg!xFθd,0,411108440,1,499107
ψNνYΘrΩ,0,456074565,1,511046
YxO6ψqW,0,497619296,1,594394
σpKΓ7qe,0,544037820,1,551345
8CλfzNT,0,680831991,1,519544
yjφΩGΠz,0,536934785,1,546346
δΘβmφOj,0,348617938,1,456939
ΠPadσΣμ,0,441320115,1,519376
xiIφΔAu,0,464552693,1,591211
ΛRrlFΞψ,0,411152578,1,569276
bToΠBχΓ,0,426719468,1,449251
Qα3x!Yθ,0,454257847,1,510884
ΣΛιΓbσΠ,0,444232868,1,542998
hΠoOq45,0,591073451,1,591049
l5νXWuE,0,463115184,1,560746
ζπAHηΛc,0,435818522,1,538973
$χDGfRQ,0,514108705,1,581860
νferXuΦ,0,363402291,1,448580
κVιη$Eψ,0,507262169,1,521213
ΔiWuAqk,0,415790125,1,531165
2ΠVYgzj,0,429407916,1,536176
γβyΩεζB,0,459827665,1,593564
74UDlωv,0,452981543,1,563429
QPe!ζb7,0,359327408,1,509386
pvΘnF7ζ,0,323111063,1,453432
κγkcelπ,0,487851178,1,544538
κfR!φDc,0,484366246,1,502623
OηιYtκU,0,544988694,1,564924
UυW8χΩΛ,0,498780499,1,532157
θFε!χ6π,0,321882297,1,451928
5Bιτψwx,0,473966675,1,519420
δ4τpVxY,0,383268286,1,496475
RTWHOVi,0,320123499,1,445235
ΓK6ΘaSφ,0,377700161,1,531330
ΞυχWψwν,0,433293992,1,544697
zΘoπιj!,0,525968832,1,520209
