String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
#Γ9Δνγb,0,405357564,1,2602208
SλOκωE2,0,101113144,1,1042960
ωνfqIE2,0,367898496,1,4110252
6σ3ψυly,0,165174212,1,2111696
Wz5σιΛA,0,1077216264,1,11903160
gΘMψGιe,0,49428029,1,689696
SιKΦυσu,0,152070985,1,1850349
MλT2ΔαΩ,0,488285301,1,5725764
χl37pεJ,0,140059176,1,1841775
bλlΨΠ9τ,0,23833606,1,288276
vψ4τΠBw,0,2779213,1,34497
lμrγβEH,0,1101460941,1,13496156
δxcκIη%,0,149718589,1,1891830
oq3KaΣp,0,19997717,1,266300
qgfrUmE,0,608607589,1,8504899
μVqeχAφ,0,316048910,1,4243241
6Sξμκzσ,0,119525725,1,1594685
aηqgst!,0,279259689,1,3645870
hΞ4DιJ0,0,414538984,1,4779748
ΨΠ4πψLY,0,1031389559,1,12485903
QNwΘXΣΨ,0,114967397,1,1319210
ABONrΘj,0,24184560,1,271364
srT%#υξ,0,313040749,1,4116101
FBChsX$,0,654417828,1,7793091
ψξCU4aλ,0,166741623,1,2265176
EO2ΨyMΠ,0,405773617,1,3332478
Jiκ3ΓMI,0,411163138,1,4373639
τΦιNAtc,0,127719814,1,976608
nF1ΞTYS,0,2451064688,1,23517164
UVYPω#u,0,482082934,1,4399514
ηKZMXSe,0,1355694582,1,14514488
SYDΠeψζ,0,66423282,1,892095
avωfιu6,0,383532976,1,4844910
q7a@ΦΛA,0,114553838,1,1494565
κπoωHcx,0,548998444,1,6293446
ψEHTl%Ξ,0,448630927,1,5188777
Kπ4EιU!,0,44624739,1,596599
e3z%κCV,0,227846255,1,2923009
zZΘOSωr,0,116500102,1,1473149
CRvΦteγ,0,281666347,1,3664406
8P@WCiN,0,237670346,1,3040101
aUokΔIx,0,283314236,1,3574419
I5ujψAf,0,1317416890,1,14458149
M@kZ#3v,0,10659769,1,137021
#N6σnrV,0,559663,1,6487
ηω1υ@$χ,0,907759760,1,10972761
ZLGΞ8le,0,428382325,1,3247265
$OωSDu6,0,17483697,1,205567
v43ZCΦΩ,0,115617200,1,1482232
Q1τσmEΠ,0,262826157,1,2742685
fDαυvRF,0,87063198,1,940511
EΞPγΩ7b,0,577858946,1,6127499
ΨUmdκδS,0,798718565,1,8356564
Hκdz6WK,0,22594463,1,304433
%ΔG0πsβ,0,271361360,1,2749204
ΓjyEΔΛn,0,191641475,1,1695765
xiΓΦξ3k,0,415872707,1,5213222
vreΠΔ8w,0,337424989,1,3559322
uHθΠeδZ,0,155328218,1,1635052
zZβFVdY,0,458314626,1,4640271
m2ΦγΣαω,0,133415208,1,1451543
g5LsφOX,0,483546416,1,4883258
Ψ3ElihΘ,0,53783051,1,708807
s#PTxτE,0,452135680,1,4562067
εoμbπrB,0,158743218,1,1685407
ιSwa6Σ2,0,151188371,1,1804668
πυGI5!γ,0,10504908,1,68475
LCNp!Σ$,0,308882297,1,3015796
yvσnXψΛ,0,376106789,1,3638771
Ywe9Θxπ,0,355544180,1,3654203
ενΛσVΠo,0,15747415,1,203098
NΔΠcJ6δ,0,423696367,1,3943390
VιφRhβG,0,6376719,1,44320
hΘRHrνε,0,177314673,1,1805988
eIΓ$ΨNφ,0,834747205,1,8698960
EpκΓVkG,0,424034250,1,4085947
ν6ΨLnDY,0,409246665,1,4200954
$ΠpPΘξΛ,0,149308683,1,1905268
VkiaΘγx,0,16276749,1,188146
vRoκaXI,0,759897606,1,7724140
fτid%Aq,0,646816773,1,5897155
φδPΛeJV,0,720349854,1,8180589
PMxΠΘπθ,0,65921748,1,884027
Gwωesι0,0,144023939,1,1944190
θυξΨNλX,0,588032540,1,7486202
ΦfΩ6ιsW,0,67268629,1,913171
ZmΦAuxΛ,0,287227891,1,3568755
Θφδ0Rωx,0,264504170,1,3466821
rηZUαlX,0,6500578,1,84557
πe#cμay,0,813268901,1,9158148
n3x9TNη,0,233002216,1,2763181
XIπκσpb,0,363235151,1,4082438
αP0BεQz,0,2235771233,1,20211574
ΣR$ΨΠdγ,0,66266224,1,882807
ζA4u5pP,0,220608306,1,2862222
CWΠzRBγ,0,383399194,1,4887647
lLθQ5!G,0,943611604,1,9746606
Ξh9qB8β,0,464186890,1,5744830
ι9m5a#O,0,363283224,1,3896250
1IjΩ!ζγ,0,654737653,1,6473220
SνΣuz#λ,0,156657080,1,1260332
XEW5mN!,0,267688280,1,2781203
βψsN5bυ,0,490507780,1,4542211
ΩCjvXKΨ,0,622097785,1,8143196
ΓΠφln0Q,0,735043394,1,8492941
Ujαl0sY,0,1421456717,1,15137463
4ΔyμεζΓ,0,655670287,1,5381523
93#φM7E,0,587973114,1,5251584
Δg!xFθd,0,513329407,1,5411562
ψNνYΘrΩ,0,3217508435,1,25193314
YxO6ψqW,0,1143857155,1,10209428
σpKΓ7qe,0,294795923,1,3500479
8CλfzNT,0,190348109,1,1543690
yjφΩGΠz,0,2939802,1,29488
δΘβmφOj,0,139899548,1,1729783
ΠPadσΣμ,0,158148992,1,2002368
xiIφΔAu,0,1424244872,1,14076171
ΛRrlFΞψ,0,209141250,1,2682322
bToΠBχΓ,0,345993804,1,4113366
Qα3x!Yθ,0,295934223,1,3331253
ΣΛιΓbσΠ,0,92374766,1,899759
hΠoOq45,0,191805572,1,1803298
l5νXWuE,0,98309939,1,1272529
ζπAHηΛc,0,2233465813,1,21211020
$χDGfRQ,0,20430692,1,112531
νferXuΦ,0,447299751,1,4641176
κVιη$Eψ,0,983273707,1,11436258
ΔiWuAqk,0,303558712,1,3255773
2ΠVYgzj,0,109524657,1,1401128
γβyΩεζB,0,334929878,1,3422270
74UDlωv,0,596283307,1,4676884
QPe!ζb7,0,242207007,1,1940546
pvΘnF7ζ,0,509243669,1,6094975
κγkcelπ,0,167206865,1,1375979
κfR!φDc,0,48804443,1,562631
OηιYtκU,0,1745602638,1,13719437
UυW8χΩΛ,0,51679166,1,574749
θFε!χ6π,0,264087360,1,3293195
5Bιτψwx,0,50738235,1,684272
δ4τpVxY,0,1782891955,1,14536184
RTWHOVi,0,981629425,1,8872016
ΓK6ΘaSφ,0,348278263,1,3673839
ΞυχWψwν,0,1482595049,1,16305695
zΘoπιj!,0,1010761964,1,12937883
ΓτJd#j4,0,79617944,1,1055333
μψEMνWΞ,0,422290821,1,5922050
ZHεzΔκα,0,52797388,1,673149
qΞφΔOLW,0,1060897808,1,13250081
π#sobF%,0,57233248,1,780243
κΦΩSaLχ,0,1002750,1,12261
zhΨΔrnΣ,0,1988470788,1,18491903
fwPrχML,0,234061480,1,2256443
vψY!βΠη,0,243904703,1,3102454
ζuΩγWeJ,0,49197562,1,659732
kwVKLFv,0,2031827167,1,20265864
ηSFλE!ξ,0,821295672,1,9728949
5EGAΔqj,0,591213725,1,6073005
ζxLJΔic,0,347471847,1,4095815
dNmsbFg,0,77940823,1,1077473
LhDBKMd,0,719626163,1,9539497
τe4awΩC,0,107494467,1,1449234
Θ96jc3B,0,54680524,1,739651
XFx!Pφo,0,18033964,1,232672
ZRλfS9Θ,0,291476889,1,3864926
TΠPxteω,0,569811664,1,5864017
#7lσQΓ3,0,526085439,1,6386082
ugφΣrΓG,0,398588442,1,4526554
sVpΣq1!,0,101101632,1,1000549
κHΔgAt#,0,536730696,1,7150864
κΨθCFk#,0,396133463,1,3916481
t%Sy318,0,236762646,1,2269150
rAqωt!Λ,0,80275354,1,1068755
9nλ@p61,0,385537777,1,3968021
#Z!Γ9x5,0,375642950,1,4567121
ψsΞσOφk,0,960467229,1,10321596
45λβTzW,0,2024910143,1,23161195
7xΞXιlG,0,2632876,1,29873
σPνry0Π,0,52026057,1,666600
TrIξWX0,0,189155509,1,2439921
ΛAY8uOB,0,304811755,1,3242780
e$2rzcD,0,865335768,1,8862697
VFz8Δ6!,0,20777268,1,255252
μΞΦWRηT,0,16463999,1,196769
5ηRkmKM,0,277234285,1,3329193
Hβ%ιNUX,0,731580460,1,8120916
JY2γζθs,0,184202776,1,2353723
uθTJΠζτ,0,1705789567,1,19168828
ig6Γσημ,0,544849321,1,5105748
WO$UIwr,0,16256367,1,162171
Δi@VhQI,0,1622530150,1,14998526
kΘCifjΓ,0,543093454,1,5268246
υwΦnfι3,0,49131786,1,666045
ε@K2%qπ,0,536379785,1,6054349
724Iuiy,0,513085393,1,5889582
γCΞελ9X,0,915621944,1,10052820
UlθHj!f,0,435799837,1,5037432
τXγ7κpψ,0,26518552,1,343300
bhζ@40C,0,5777426,1,77493
lgΘΞirw,0,327313777,1,4439471
@yεΨ9π3,0,1489365621,1,13594182
LΠT@ΦOZ,0,663694640,1,6731053
ζXβrWfj,0,56193212,1,714016
lr7UGI4,0,1323793938,1,14572636
4ψN8voη,0,962487894,1,10788642
σOwγΓaG,0,310042263,1,4010342
nGSξFyN,0,279811203,1,3501469
i!jt8ΔG,0,1072505690,1,9766467
θwV!ikφ,0,237148318,1,1842085
aI8λt@h,0,1362487405,1,13767177
DMVβGαψ,0,76288732,1,947564
7TgqIbs,0,1408202442,1,17385704
RκkFΦu2,0,119374007,1,1432822
P%8@u#Π,0,320239,1,3238
ψqKhSk2,0,393135110,1,5088682
nD0@oυK,0,13239566,1,171659
!ιNηκ7Σ,0,705161122,1,7373795
cΠφvCqτ,0,1661754457,1,18780460
σXμη7ΔG,0,277575780,1,3744045
Λ@Ω%S$a,0,240236068,1,3238001
mηi6HuK,0,467243385,1,6188222
ΓADΨt@m,0,153697355,1,2123469
zhi9Δυτ,0,157497457,1,1980768
hyIMψνJ,0,3268520112,1,36696305
AUσvτξi,0,193570034,1,2208017
@K5ψXrξ,0,869337784,1,10598910
pFmxRφδ,0,11784770,1,160641
vαs4ζTA,0,2183136331,1,24600032
pLσboθΨ,0,1001249251,1,8233558
ιφpjΦ29,0,1792598228,1,17759609
Qπ!ξ4ΘZ,0,224574665,1,3014816
ωθ9κZ2i,0,179351386,1,2425009
8dΓqce3,0,193997004,1,2388471
ΓxΛsα27,0,237242695,1,2375944
ΨΣδZf%ζ,0,112228651,1,1264231
7Fχz!wΓ,0,369218954,1,4891921
OηνGΣa2,0,80668946,1,1141595
c3z%CNn,0,347066172,1,4604578
nNwTX1j,0,232828258,1,2351918
μokEaηχ,0,673301258,1,8044351
Ft95qxc,0,339735241,1,3244965
βJfCψou,0,507477918,1,5804059
igαRkψN,0,173629304,1,1250479
φσθeλβv,0,340801955,1,3692406
cLXSΞωs,0,498872936,1,6067266
Fυm2dσ6,0,346555317,1,4307328
bZLtAωΘ,0,490683643,1,4637577
ΩχCRεwd,0,429298696,1,5799819
W#εθrLv,0,160386349,1,2155003
ιuJ06s%,0,116829258,1,1499249
4ΘMπαOW,0,19285998,1,238666
x%oTN1ν,0,231221304,1,2579728
ΞYkφψ8d,0,130642771,1,1316046
ΞM1Δzfδ,0,261918588,1,3442626
εe8δXY7,0,536655856,1,7126689
Φ3ψHτKΨ,0,394869565,1,4482458
Πδκ@0Ψτ,0,345022337,1,4640131
D@6PσγM,0,28736483,1,405113
pXsνCΦT,0,117135347,1,1603708
μ7χzιHΠ,0,74126595,1,936826
ΓbΨβIt@,0,221220214,1,2677148
2ψFZp7X,0,72721279,1,756312
δh!κψZσ,0,12969299,1,155142
OhΦk!VΨ,0,659836969,1,4900264
G#IΦ!mΨ,0,676006757,1,6894766
ΨγηMF4p,0,172094728,1,1403638
dugωpπk,0,406576485,1,3564796
m8@1jλξ,0,919874710,1,9080679
wmΣδΓ!G,0,8327390,1,115100
UmΣ7FIl,0,932465855,1,9212233
v3eHΣτq,0,54905259,1,504838
ΞDUξJΔω,0,397031026,1,3782143
εθjΨNUτ,0,427946367,1,4855813
ebhFφΞH,0,1432842660,1,13883259
ΓθdYqTO,0,165624800,1,1997544
ωrSxMGυ,0,17625851,1,191540
FwΠtκpλ,0,240959281,1,3076274
ΔqDFefγ,0,650551142,1,6384173
ΔcλΛvoφ,0,41849512,1,468510
αJΓ7VBj,0,1290763062,1,14083954
vνγu6GΦ,0,206376684,1,2866456
6HΩLΛτc,0,951231919,1,10282469
uZAωC%k,0,270576614,1,2671865
sΔt$0γψ,0,17490415,1,249294
zθΩNπKχ,0,887960,1,10131
ξ6$7χpR,0,129113648,1,1739671
PTwξ#χK,0,426834170,1,4972040
nφb04ΠB,0,1041826643,1,11333704
Θar0hδl,0,1113148930,1,12536628
λχxcfuR,0,316670707,1,3235647
ΛExkβQL,0,326133164,1,3320365
τw1εMζT,0,929033912,1,8661758
o%θVUΠN,0,14929257,1,138946
πΘtφΞy4,0,108017023,1,1214791
@zΛMOFo,0,402700304,1,3762242
slΛXιηβ,0,35992126,1,329448
wωtgΠπF,0,43629805,1,464861
MP@5!sb,0,172251184,1,2269220
3Dβε%nΛ,0,612035448,1,7380009
boτΨδΠξ,0,224168532,1,3026149
WP$DΩsc,0,10252195,1,136851
!Klηfdε,0,32667038,1,454548
Q$pbu0Θ,0,6986129,1,97704
l7η!HZφ,0,988284705,1,11294416
δRO6AαX,0,672457693,1,7173990
twζψjCH,0,256259832,1,2572829
Urx%hKL,0,17750896,1,225953
gvΔtΘΓλ,0,421671445,1,4585552
ζzη6Oαυ,0,165269580,1,1460217
Θε#ληHΠ,0,49580055,1,622789
SΞCχΛψu,0,181260954,1,2426619
VΨΓ6pδΣ,0,545805091,1,7308533
DQA6IBΨ,0,1221801646,1,12120206
ζΔRmy9Q,0,185321285,1,1799689
$3QhΩφξ,0,166659836,1,1939231
ΩyS#γ0G,0,296507183,1,3998739
CrbmΣδs,0,880893970,1,8724215
λx7ζU%Ψ,0,600221290,1,8197690
ZφEIY!3,0,1198952255,1,12961228
ηΨΩ8Fsf,0,548822049,1,7610758
hΞηJθy$,0,170526309,1,2258922
FξcDηNf,0,1182059661,1,12728435
