String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
ocθεT,0,2209453,1,3089
EIτκζ,0,2135758,1,2736
S1rνH,0,1981352,1,2742
Γ7MgJ,0,2233171,1,2742
%NcμB,0,2948041,1,3457
dOjφu,0,2132894,1,2808
b!θΨυ,0,1882986,1,2380
Ji5νκ,0,3178961,1,3457
%0ΦνV,0,2319070,1,3176
TWudX,0,1775600,1,2380
XωFJK,0,1806164,1,2380
CtΔ5$,0,2207805,1,2895
χδNoπ,0,2188636,1,2898
chΛδθ,0,2484228,1,3370
ΔVG8k,0,1764319,1,2380
ω7Θυβ,0,1772047,1,2380
pεPΘ$,0,2439385,1,3376
YαΩru,0,2409461,1,3370
LνGιT,0,2152758,1,2811
mIξqχ,0,2099878,1,2939
I%5dμ,0,3177236,1,3451
λXΠxχ,0,1895404,1,2652
πhΣWκ,0,2886958,1,3454
0Jgkκ,0,2179560,1,2936
isKλσ,0,2186853,1,2895
χEQeb,0,2488584,1,2898
ΛBwRε,0,1902916,1,2661
cL8πr,0,1732474,1,2371
Y59Ol,0,2082617,1,2814
ψEfσμ,0,2216931,1,3092
0qψwj,0,2103808,1,3023
ηJδQΓ,0,2148396,1,3020
wcθΣΛ,0,1912217,1,2658
qPιQΣ,0,1913199,1,2742
gSζ2l,0,1920145,1,2742
56βhO,0,1800326,1,2374
1ΨΘ6D,0,2258726,1,3170
ΓPυbΛ,0,2315069,1,3176
Λαh#k,0,2024452,1,2739
6K%ΣL,0,2239345,1,2936
γbM#u,0,2377237,1,3173
ηπcYJ,0,2109538,1,2661
7δγ%ψ,0,2540184,1,3170
FTGδυ,0,1759185,1,2380
b$wfT,0,2418233,1,3376
NαHΞ0,0,2508870,1,3454
IγμKα,0,2706377,1,3373
giQυν,0,2785037,1,3370
$λ7zζ,0,1951365,1,2658
Y!4ζz,0,1751716,1,2380
P9pwZ,0,2110292,1,3023
gKΦΠ%,0,2071866,1,2933
79ξgb,0,2128277,1,3020
UΨfEγ,0,2036972,1,2942
KYXFh,0,2300433,1,3179
JTSπn,0,2067790,1,2814
ιπqcΘ,0,2122068,1,3020
Kjwdv,0,2369153,1,3373
l8χμo,0,3027875,1,3173
sξτχP,0,1764143,1,2455
ζαg$r,0,2412897,1,3373
0blod,0,2079786,1,2889
ΩΨTOY,0,1900188,1,2661
RUhτu,0,2031536,1,2811
3A0Zc,0,1887144,1,2658
XVfψθ,0,2246087,1,3098
UwμkΔ,0,1898284,1,2658
@kS1g,0,2423272,1,3451
TUθ#$,0,1772307,1,2461
εΘFh8,0,1910142,1,2658
cWhPζ,0,1794845,1,2458
νEMδl,0,1774239,1,2461
CTrQD,0,2047112,1,2889
xmσA5,0,2433035,1,3454
L8rKa,0,2264091,1,3092
HegΘψ,0,2251888,1,3095
pβγτ9,0,1773205,1,2371
qER5m,0,2035729,1,2461
qγRδθ,0,2484680,1,3370
ΠEtaΣ,0,1905350,1,2380
EΛCτα,0,1983997,1,2377
KvyAε,0,2154870,1,2895
μ7QΦk,0,1892481,1,2661
f!Σξη,0,1984864,1,2739
1mRΦη,0,2165993,1,2942
d6τΨα,0,1844226,1,2458
6BGΞL,0,2135780,1,3023
mFkΨ2,0,2124079,1,2889
dζRzφ,0,1937770,1,2661
jδogI,0,2150780,1,2742
MVhiJ,0,1779467,1,2377
tΛKZ6,0,1735304,1,2374
ΘωEλ8,0,1889187,1,2661
αQszA,0,2091894,1,2814
ktvGι,0,2264681,1,3098
!Ξzκp,0,2482883,1,2458
5@WcG,0,2241387,1,3092
V8ΞθΦ,0,2054145,1,2942
8Πc2ξ,0,2402230,1,3454
Λo79Z,0,1896819,1,2661
5ψTζv,0,2234062,1,3092
GYAυ!,0,1892459,1,2652
KMωpC,0,2419608,1,3376
OsτD6,0,2269630,1,3176
qφw@4,0,2072281,1,2939
αεΞRΣ,0,2068715,1,2942
kηξhΛ,0,2252731,1,3092
ηYΩ%Q,0,2362787,1,3373
UΞyηβ,0,1765040,1,2461
ΓYωλ5,0,2431178,1,3373
%ΛMVθ,0,2274068,1,3173
VQavJ,0,1948919,1,2742
VΣwab,0,2043434,1,2936
Nraγ7,0,2041567,1,2808
sYΔSp,0,2170784,1,3017
jVRLξ,0,2087590,1,2808
βdΩγ%,0,2151367,1,2814
ErBΩΠ,0,2751189,1,2742
QR1Ψβ,0,2115697,1,2942
0XRrc,0,2133156,1,3017
pπwφ@,0,2237535,1,3092
νPQmN,0,1953993,1,2658
nziHθ,0,2324475,1,3170
ΦbX7P,0,2306073,1,2895
HυΣτs,0,2347966,1,3089
Θ@8Iω,0,2083271,1,2808
Qsγcθ,0,2162196,1,2892
κjξs%,0,2116845,1,2939
#Tn@Ξ,0,2095162,1,2889
ΛaIsT,0,2931952,1,3170
εΠVPm,0,2132498,1,2939
πδehl,0,2234555,1,3095
VfgλM,0,1730150,1,2380
