String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
Jnτβ,0,9560703,1,166
μτSΔ,0,4435248,1,152
Yzηυ,0,4900394,1,155
wpξD,0,7250307,1,214
sgYτ,0,3222301,1,104
κv@x,0,3628893,1,104
δnuΩ,0,5637113,1,217
Θζjθ,0,4374795,1,163
υo80,0,4820517,1,163
JΦφI,0,4569528,1,166
tLν@,0,3812258,1,152
εzΔM,0,3893121,1,149
QΣnγ,0,4387870,1,155
ΓλD2,0,7238118,1,217
8NBh,0,5559098,1,155
θΞιY,0,2444977,1,104
5ωsh,0,3425372,1,104
rιFμ,0,6553878,1,214
lψμH,0,3229354,1,155
α!2C,0,5179554,1,220
τυXμ,0,4947461,1,214
#8Hn,0,3561481,1,98
μ1#G,0,4849831,1,155
9Dκφ,0,3308523,1,104
%ΞaQ,0,5992588,1,166
2ξζΓ,0,3395963,1,104
χrυE,0,5459391,1,163
7πξA,0,4520981,1,152
αQuh,0,4498518,1,155
IxXz,0,6175488,1,214
ωHκg,0,5980978,1,214
μpSζ,0,3009585,1,155
σsAτ,0,2188316,1,104
3k8H,0,3881296,1,152
χ6κQ,0,5344086,1,163
74Dυ,0,3868912,1,155
Bf2%,0,1921374,1,104
ΞΓjU,0,2565028,1,149
hBaΘ,0,2996555,1,163
ιCRΘ,0,1656185,1,98
y985,0,3223259,1,163
χhdΞ,0,3823817,1,214
eι!ψ,0,3464680,1,214
Lξ%h,0,1297989,1,104
JNΦσ,0,1892075,1,163
yfσΔ,0,1553529,1,169
λc@τ,0,1309929,1,155
zΨδ0,0,1498363,1,163
lcγX,0,934128,1,101
BgΨw,0,1499946,1,163
bxκ@,0,1895587,1,214
O7ML,0,1530766,1,166
σ8Ξ9,0,1432041,1,152
1κrP,0,1554566,1,149
iξGτ,0,2609700,1,169
xΩ4N,0,1536215,1,169
92εΣ,0,1281834,1,104
DφYn,0,1945147,1,149
@καφ,0,1320922,1,101
KkLM,0,2966318,1,217
nβxX,0,1421903,1,98
PξΨΓ,0,1361109,1,104
ζBlk,0,1365066,1,104
4YHd,0,2253414,1,163
Hlr1,0,3094087,1,214
%4Bz,0,1936660,1,155
9βuP,0,2812386,1,217
3voT,0,1348817,1,98
LWUm,0,1981770,1,155
ΔZΞμ,0,3154944,1,214
6uGΞ,0,2194420,1,163
rΓKD,0,2123838,1,163
UHα7,0,1208909,1,98
abqι,0,2107701,1,166
L$ψq,0,2683863,1,217
5fyψ,0,2153960,1,166
ΔWαt,0,14937575,1,166
aXωr,0,2644743,1,217
ωJ!U,0,2545142,1,214
R$Iι,0,2176564,1,163
βσζL,0,1804967,1,163
og8u,0,1640659,1,166
XWνλ,0,2121689,1,220
gbkι,0,1010233,1,101
$hIσ,0,1173139,1,149
oGψk,0,1163597,1,155
πLb8,0,2007555,1,220
OLΨm,0,1224218,1,155
λ0rb,0,1072721,1,166
