String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
yκLΛ4%,0,1255595810,1,29252
8nT0Nδ,0,1247827566,1,25667
χφEΞCθ,0,981842522,1,38882
φσξ3NZ,0,1302187336,1,46582
fξυABv,0,748898187,1,30967
λA5gBs,0,1179658982,1,41202
e7gχyγ,0,480607782,1,20102
ΞgZRχα,0,1272692977,1,43182
2ηΓζνM,0,455508065,1,18197
gy5ck!,0,792613127,1,30467
π7kSpθ,0,1071308754,1,39952
@WnθεP,0,1175936762,1,41032
D%UXτb,0,488355478,1,20397
MντξZl,0,469259166,1,18317
3hQMΦs,0,476390299,1,17982
ctMΘwg,0,569784210,1,22647
H63dNν,0,781063924,1,27102
α#%θfE,0,713530268,1,28582
τLpΦ63,0,980442155,1,37632
ZυhrIJ,0,772915052,1,29732
aυQΓZC,0,803840631,1,33197
ιαJeεζ,0,1033756790,1,42817
%6ζuiΔ,0,1052825457,1,40437
xr0ΣqX,0,1060254724,1,38497
α6ΣΔoσ,0,689853400,1,26652
ΩJp#V9,0,896913857,1,35882
CyφIZχ,0,431938420,1,18602
TtfΓΣε,0,403823602,1,15997
tγ6@Ck,0,900687835,1,32932
q5ΩvRc,0,922550483,1,29652
X7dzx#,0,533706360,1,20037
ιlΓσys,0,735332904,1,29667
vχVbδM,0,848413685,1,34812
sc4Zχh,0,985886978,1,37282
2tTWhΘ,0,586085938,1,19367
r@βPUn,0,913462165,1,35482
ODoXuE,0,601421339,1,23632
5r1fεS,0,586268943,1,24262
Cλeυ9θ,0,659762948,1,24782
xs0κvψ,0,807940148,1,32652
nΔΠIv2,0,686829079,1,28497
!Ξpωυf,0,1319338976,1,45997
ΣcAΛyr,0,1218899430,1,41282
TcZkβu,0,405237528,1,15932
$UVSjP,0,1242825371,1,42997
sG@βηk,0,579457345,1,24032
5βvκχx,0,402456543,1,17012
iHsA0p,0,861048446,1,35587
!isθX%,0,1084680029,1,38837
iΦzQγχ,0,680214790,1,26282
!xFκRΓ,0,1394133232,1,42952
nGτ4Kt,0,900357623,1,33752
vλκζΓΞ,0,430107186,1,17967
μθ1Ψ6C,0,1124979910,1,38482
n@θNrμ,0,684425655,1,26682
tθU@ΨH,0,704269547,1,25897
yXQw8#,0,1202852766,1,40352
wΓSΩTm,0,851435206,1,32932
Wjoπ$l,0,362500227,1,14732
WdιIα#,0,539410825,1,22402
rδστSm,0,636882251,1,26517
tλμ3k7,0,824646313,1,33982
xbYaδ9,0,1076356762,1,38612
v1rnΣM,0,893246977,1,34732
ξχΨHjr,0,989341761,1,33967
!EσFχA,0,1047382874,1,41297
ΦqΛt$ζ,0,831135719,1,34667
L6γηξT,0,537625823,1,20282
JWrFΞΛ,0,535028910,1,22017
HμζΦg6,0,692075908,1,22497
KυFΣjφ,0,612328166,1,23367
μD3θSh,0,993984244,1,41267
YdΛζpj,0,441155955,1,15567
σΨ70δY,0,1061288249,1,40397
Qτr85ν,0,775248692,1,32317
λaυσzm,0,801601426,1,29667
σxνCθΞ,0,1163520571,1,39052
